BEST SUPPORTING ACTRESS,,
Jennifer Jason Leigh,0,The Hateful Eight
Rooney Mara,0,Carol
Rachel McAdams,0,Spotlight
Alicia Vikander,0,The Danish Girl
Kate Winslet,0,Steve Jobs
