Best Original Screenplay,
Manchester by the Sea,New York Film Critics
Manchester by the Sea,Boston Film Critics
Manchester by the Sea,San Francisco Critics
Manchester by the Sea,National Society of Film Critics
La La Land,DC Film Critics
La La Land,Las Vegas Critics
La La Land,Critics Choice
La La Land,Golden Globes
The Lobster,LA Film Critics
Hell or High Water,Houston Critics
