Best Director,
Moonlight,New York Film Critics
La La Land,DC Film Critics
La La Land,Boston Film Critics
La La Land,Las Vegas Critics
La La Land,Houston Critics
La La Land,Critics Choice
La La Land,Golden Globes
Moonlight,LA Film Critics
Moonlight,San Francisco Critics
Moonlight,National Society of Film Critics
La La Land,Golden Globes
La La Land,Directos Guild
