Best Supporting Actor,
Mahershala Ali,New York Film Critics
Mahershala Ali,DC Film Critics
Mahershala Ali,Boston Film Critics
Michael Shannon,Las Vegas Critics
Jeff Bridges,Houston Critics
Mahershala Ali,National Society of Film Critics
Mahershala Ali,Critics Choice
Michael Shannon,Golden Globes
Mahershala Ali,Screen Actors Guild
Mahershala Ali,LA Film Critics
