Best Actress,
Isabelle Huppert,New York Film Critics
Natalie Portman,DC Film Critics
Isabelle Huppert,Boston Film Critics
Natalie Portman,Las Vegas Critics
Natalie Portman,Houston Critics
Isabelle Huppert,National Society of Film Critics
Natalie Portman,Critics Choice
Isabelle Huppert-Drama,Golden Globes-Drama
Isabelle Huppert,San Francisco Critics
Emma Stone,Screen Actors Guild
Isabelle Huppert,LA Film Critics
Emma Stone,Golden Globes-Musical or Comedy
