BEST ACTOR,,
Casey Affleck,0,Manchester by the Sea
Andrew Garfield,0,Hacksaw Ridge
Ryan Gosling,0,La La Land
Viggo Mortensen,0,Captain Fantastc
Denzel Washington,0,Fences
