Best Actor,
Casey Affleck,New York Film Critics
Casey Affleck,DC Film Critics
Casey Affleck,Boston Film Critics
Casey Affleck,Las Vegas Critics
Casey Affleck,Houston Critics
Casey Affleck,National Society of Film Critics
Casey Affleck,Critics Choice
Casey Affleck-Drama,Golden Globes-Drama
Denzel Washington,San Francisco Critics
Denzel Washington,Screen Actors Guild
Ryan Gosline,Golden Globes-Comedy or Musical
