Best Animated Feature,
Zootopia,New York Film Critics
Kubo and the Two Strings,DC Film Critics
Kubo and the Two Strings,Las Vegas Critics
Kubo and the Two Strings,Houston Critics
Zootopia,Critics Choice
Zootopia,Golden Globes
Zootopia,Producers Guild
The Red Turtle,San Francisco Critics
