Best Supporting Actress,
Michelle Williams,New York Film Critics
Viola Davis,DC Film Critics
Viola Davis,Boston Film Critics
Viola Davis,Las Vegas Critics
Viola Davis,Houston Critics
Michelle Williams,National Society of Film Critics
Viola Davis,Critics Choice
Viola Davis,Golden Globes
Viola Davis,Screen Actors Guild
Viola Davis,LA Film Critics
Viola Davis,San Francisco Critics
