Best Actress,,
Cate Blanchett,New York Film Cirtics,0.294117647
Cate Blanchett,LA Film Critics,0.294117647
Cate Blanchett,DC Film Critics,0.357142857
Cate Blanchett,Boston Film Critics,0.411764706
Cate Blanchett,San Francisco Critics,0.4
Emma Thompson,Las Vegas Critics,0.352941176
Sandra Bullock,Houston Critics,0.375
Cate Blanchett,Natrional Society of Film Critics,0.411764706
Cate Blanchett,Screen Actors Guild,0.970588235
Cate Blanchett,Critics Choice,0.647058824
Cate Blanchett,Golden Globes,0.117647059
Amy Adams,Golden Globes,0.176470588
Adele Exarchopoulos ,LA Film Critics,0.294117647
