Best Actor,,
Robert Redford,New York Film Cirtics,0.294117647
Bruce Dern,LA Film Critics,0.352941176
Chiwetel Ejiofor,DC Film Critics,0.357142857
Chiwetel Ejiofor,Boston Film Critics,0.470588235
Chiwetel Ejiofor,San Francisco Critics,0
Matthew McConaughey,Las Vegas Critics,0.411764706
Chiwetel Ejiofor,Houston Critics,0.375
Oscar Isaac,Natrional Society of Film Critics,0.411764706
Matthew McConaughey,Screen Actors Guild,1.235294118
Matthew McConaughey,Critics Choice,0.764705882
Matthew McConaughey,Golden Globes,0.647058824
Leonardo DiCaprio,Golden Globes,0.705882353
