Best Animated Feature,
Ernest & Celestine,LA Film Critics
Frozen,DC Film Critics
The Wind Rises,Boston Film Critics
Frozen,San Francisco Critics
Frozen,Las Vegas Critics
Frozen,Houston Critics
Frozen,Producers Guild
Frozen,Critics Choice
Frozen,Golden Globes
