Best Actor,
Bruce Dern,Nebraska
Chiwetel Ejiofor,12 Years a Slave
Matthew McConaughey,Dallas Buyers Club
Leonardo DiCaprio,The Wolf of Wall Street
Eddie RedmayneChristian Bale,American Hustle
