Year,Category,Nominee,Additional Info,Won
1992,Costume Design,Bugsy,NONE,Yes
1992,Costume Design,Hook,NONE,No
1992,Costume Design,Madame Bovary,NONE,No
1992,Costume Design,The Addams Family,NONE,No
1992,Director,Boyz N the Hood,NONE,No
1992,Director,Bugsy,NONE,No
1992,Director,JFK,NONE,No
1992,Director,The Silence of the Lambs,NONE,Yes
1992,Director,Thelma Louise,NONE,No
1992,Documentary,A Little Vicious,NONE,No
1992,Documentary,Birdnesters of Thailand,NONE,No
1992,Documentary,Deadly Deception General Electric Nuclear Weapons and Our Environment,NONE,No
1992,Documentary,Death on the Job,NONE,No
1992,Documentary,Doing Time Life inside the Big House,NONE,No
1992,Documentary,In the Shadow of the Stars,NONE,Yes
1992,Documentary,Memorial Letters from American Soldiers,NONE,No
1992,Documentary,The Mark of the Maker,NONE,No
1992,Documentary,The Restless Conscience,NONE,No
1992,Documentary,Wild by Law,NONE,No
1992,Film Editing,JFK,NONE,Yes
1992,Film Editing,Terminator 2 Judgment Day,NONE,No
1992,Film Editing,The Commitments,NONE,No
1992,Film Editing,The Silence of the Lambs,NONE,No
1992,Film Editing,Thelma Louise,NONE,No
1992,Foreign Language Film,Children of Nature,NONE,No
1992,Foreign Language Film,Mediterraneo,NONE,Yes
1992,Foreign Language Film,Raise the Red Lantern,NONE,No
1992,Foreign Language Film,The Elementary School,NONE,No
1992,Foreign Language Film,The Ox,NONE,No
1992,Production Design,Barton Fink,NONE,No
1992,Production Design,Bugsy,NONE,Yes
1992,Production Design,Hook,NONE,No
1992,Production Design,The Fisher King,NONE,No
1992,Production Design,The Prince of Tides,NONE,No
1992,Score,Beauty and the Beast,NONE,Yes
1992,Score,Bugsy,NONE,No
1992,Score,JFK,NONE,No
1992,Score,The Fisher King,NONE,No
1992,Screenplay - Adapted,Europa Europa,NONE,No
1992,Screenplay - Adapted,Fried Green Tomatoes,NONE,No
1992,Screenplay - Adapted,JFK,NONE,No
1992,Screenplay - Adapted,The Prince of Tides,NONE,No
1992,Screenplay - Adapted,The Silence of the Lambs,NONE,Yes
1992,Screenplay - Original,Boyz N the Hood,NONE,No
1992,Screenplay - Original,Bugsy,NONE,No
1992,Screenplay - Original,Grand Canyon,NONE,No
1992,Screenplay - Original,The Fisher King,NONE,No
1992,Screenplay - Original,Thelma Louise,NONE,Yes
1992,Song,Be Our Guest,Beauty and the Beast,No
1992,Song,Beauty and the Beast,Beauty and the Beast,Yes
1992,Song,Belle,Beauty and the Beast,No
1992,Song,I Do It For You,Robin Hood Prince of Thieves,No
1992,Song,When You're Alone,Hook,No
1992,Visual Effects,Backdraft,NONE,No
1992,Visual Effects,Hook,NONE,No
1992,Visual Effects,Terminator 2 Judgment Day,NONE,Yes
1992,Z Filler Data,Z Filler Data,NONE,No
1993,AA Filler Data,AA Filler Data,NONE,No
1993,Actor - Leading Role,Al Pacino,Scent of a Woman,Yes
1993,Actor - Leading Role,Clint Eastwood,Unforgiven,No
1993,Actor - Leading Role,Denzel Washington,Malcolm X,No
1993,Actor - Leading Role,Robert Downey Jr,Chaplin,No
1993,Actor - Leading Role,Stephen Rea,The Crying Game,No
1993,Actor - Supporting Role,Al Pacino,Glengarry Glen Ross,No
1993,Actor - Supporting Role,David Paymer,Mr Saturday Night,No
1993,Actor - Supporting Role,Gene Hackman,Unforgiven,Yes
1993,Actor - Supporting Role,Jack Nicholson,A Few Good Men,No
1993,Actor - Supporting Role,Jaye Davidson,The Crying Game,No
1993,Actress - Leading Role,Catherine Deneuve,Indochine,No
1993,Actress - Leading Role,Emma Thompson,Howards End,Yes
1993,Actress - Leading Role,Mary McDonnell,Passion Fish,No
1993,Actress - Leading Role,Michelle Pfeiffer,Love Field,No
1993,Actress - Leading Role,Susan Sarandon,Lorenzo's Oil,No
1993,Actress - Supporting Role,Joan Plowright,Enchanted April,No
1993,Actress - Supporting Role,Judy Davis,Husbands and Wives,No
1993,Actress - Supporting Role,Marisa Tomei,My Cousin Vinny,Yes
1993,Actress - Supporting Role,Miranda Richardson,Damage,No
1993,Actress - Supporting Role,Vanessa Redgrave,Howards End,No
1993,Best Picture,A Few Good Men,NONE,No
1993,Best Picture,Howards End,NONE,No
1993,Best Picture,Scent of a Woman,NONE,No
1993,Best Picture,The Crying Game,NONE,No
1993,Best Picture,Unforgiven,NONE,Yes
1993,Cinematography,A River Runs through It,NONE,Yes
1993,Cinematography,Hoffa,NONE,No
1993,Cinematography,Howards End,NONE,No
1993,Cinematography,The Lover,NONE,No
1993,Cinematography,Unforgiven,NONE,No
1993,Costume Design,Bram Stoker's Dracula,NONE,Yes
1993,Costume Design,Enchanted April,NONE,No
1993,Costume Design,Howards End,NONE,No
1993,Costume Design,Malcolm X,NONE,No
1993,Costume Design,Toys,NONE,No
1993,Director,Howards End,NONE,No
1993,Director,Scent of a Woman,NONE,No
1993,Director,The Crying Game,NONE,No
1993,Director,The Player,NONE,No
1993,Director,Unforgiven,NONE,Yes
1993,Documentary,At the Edge of Conquest The Journey of Chief Wai Wai,NONE,No
