Year,Category,Nominee,Additional Info,Won
1996,Visual Effects,Apollo 13,NONE,No
1996,Visual Effects,Babe,NONE,Yes
1996,Z Filler Data,Z Filler Data,NONE,No
1997,AA Filler Data,AA Filler Data,NONE,No
1997,Actor - Leading Role,Billy Bob Thornton,Sling Blade,No
1997,Actor - Leading Role,Geoffrey Rush,Shine,Yes
1997,Actor - Leading Role,Ralph Fiennes,The English Patient,No
1997,Actor - Leading Role,Tom Cruise,Jerry Maguire,No
1997,Actor - Leading Role,Woody Harrelson,The People vs Larry Flynt,No
1997,Actor - Supporting Role,Armin Mueller Stahl,Shine,No
1997,Actor - Supporting Role,Cuba Gooding Jr,Jerry Maguire,Yes
1997,Actor - Supporting Role,Edward Norton,Primal Fear,No
1997,Actor - Supporting Role,James Woods,Ghosts of Mississippi,No
1997,Actor - Supporting Role,William H Macy,Fargo,No
1997,Actress - Leading Role,Brenda Blethyn,Secrets Lies,No
1997,Actress - Leading Role,Diane Keaton,Marvin's Room,No
1997,Actress - Leading Role,Emily Watson,Breaking the Waves,No
1997,Actress - Leading Role,Frances McDormand,Fargo,Yes
1997,Actress - Leading Role,Kristin Scott Thomas,The English Patient,No
1997,Actress - Supporting Role,Barbara Hershey,The Portrait of a Lady,No
1997,Actress - Supporting Role,Joan Allen,The Crucible,No
1997,Actress - Supporting Role,Juliette Binoche,The English Patient,Yes
1997,Actress - Supporting Role,Lauren Bacall,The Mirror Has Two Faces,No
1997,Actress - Supporting Role,Marianne Jean Baptiste,Secrets Lies,No
1997,Best Picture,Fargo,NONE,No
1997,Best Picture,Jerry Maguire,NONE,No
1997,Best Picture,Secrets Lies,NONE,No
1997,Best Picture,Shine,NONE,No
1997,Best Picture,The English Patient,NONE,Yes
1997,Cinematography,Evita,NONE,No
1997,Cinematography,Fargo,NONE,No
1997,Cinematography,Fly Away Home,NONE,No
1997,Cinematography,Michael Collins,NONE,No
1997,Cinematography,The English Patient,NONE,Yes
1997,Costume Design,Angels and Insects,NONE,No
1997,Costume Design,Emma,NONE,No
1997,Costume Design,Hamlet,NONE,No
1997,Costume Design,The English Patient,NONE,Yes
1997,Costume Design,The Portrait of a Lady,NONE,No
1997,Director,Fargo,NONE,No
1997,Director,Secrets Lies,NONE,No
1997,Director,Shine,NONE,No
1997,Director,The English Patient,NONE,Yes
1997,Director,The People vs Larry Flynt,NONE,No
1997,Documentary,An Essay on Matisse,NONE,No
1997,Documentary,Breathing Lessons The Life and Work of Mark O'Brien,NONE,No
1997,Documentary,Cosmic Voyage,NONE,No
1997,Documentary,Mandela,NONE,No
1997,Documentary,Special Effects,NONE,No
1997,Documentary,Suzanne Farrell Elusive Muse,NONE,No
1997,Documentary,Tell the Truth and Run George Seldes and the American Press,NONE,No
1997,Documentary,The Line King The Al Hirschfeld Story,NONE,No
1997,Documentary,The Wild Bunch An Album in Montage,NONE,No
1997,Documentary,When We Were Kings,NONE,Yes
1997,Film Editing,Evita,NONE,No
1997,Film Editing,Fargo,NONE,No
1997,Film Editing,Jerry Maguire,NONE,No
1997,Film Editing,Shine,NONE,No
1997,Film Editing,The English Patient,NONE,Yes
1997,Foreign Language Film,A Chef in Love,NONE,No
1997,Foreign Language Film,Kolya,NONE,Yes
1997,Foreign Language Film,Prisoner of the Mountains,NONE,No
1997,Foreign Language Film,Ridicule,NONE,No
1997,Foreign Language Film,The Other Side of Sunday,NONE,No
1997,Production Design,Evita,NONE,No
1997,Production Design,Hamlet,NONE,No
1997,Production Design,The Birdcage,NONE,No
1997,Production Design,The English Patient,NONE,Yes
1997,Production Design,William Shakespeare's Romeo Juliet,NONE,No
1997,Score,Emma,NONE,No
1997,Score,Hamlet,NONE,No
1997,Score,James and the Giant Peach,NONE,No
1997,Score,Michael Collins,NONE,No
1997,Score,Shine,NONE,No
1997,Score,Sleepers,NONE,No
1997,Score,The English Patient,NONE,Yes
1997,Score,The First Wives Club,NONE,No
1997,Score,The Hunchback of Notre Dame,NONE,No
1997,Score,The Preacher's Wife,NONE,No
1997,Screenplay - Adapted,Hamlet,NONE,No
1997,Screenplay - Adapted,Sling Blade,NONE,Yes
1997,Screenplay - Adapted,The Crucible,NONE,No
1997,Screenplay - Adapted,The English Patient,NONE,No
1997,Screenplay - Adapted,Trainspotting,NONE,No
1997,Screenplay - Original,Fargo,NONE,Yes
1997,Screenplay - Original,Jerry Maguire,NONE,No
1997,Screenplay - Original,Lone Star,NONE,No
1997,Screenplay - Original,Secrets Lies,NONE,No
1997,Screenplay - Original,Shine,NONE,No
1997,Song,Because You Loved Me,Up Close and Personal,No
1997,Song,For the First Time,One Fine Day,No
1997,Song,I Finally Found Someone,The Mirror Has Two Faces,No
1997,Song,That Thing You Do!,That Thing You Do!,No
1997,Song,You Must Love Me,Evita,Yes
1997,Visual Effects,Dragonheart,NONE,No
1997,Visual Effects,Independence Day,NONE,Yes
1997,Visual Effects,Twister,NONE,No
1997,Z Filler Data,Z Filler Data,NONE,No
1998,AA Filler Data,AA Filler Data,NONE,No
1998,Actor - Leading Role,Dustin Hoffman,Wag the Dog,No
1998,Actor - Leading Role,Jack Nicholson,As Good as It Gets,Yes
1998,Actor - Leading Role,Matt Damon,Good Will Hunting,No
1998,Actor - Leading Role,Peter Fonda,Ulee's Gold,No
1998,Actor - Leading Role,Robert Duvall,The Apostle,No
1998,Actor - Supporting Role,Anthony Hopkins,Amistad,No
1998,Actor - Supporting Role,Burt Reynolds,Boogie Nights,No
1998,Actor - Supporting Role,Greg Kinnear,As Good as It Gets,No
1998,Actor - Supporting Role,Robert Forster,Jackie Brown,No
1998,Actor - Supporting Role,Robin Williams,Good Will Hunting,Yes
1998,Actress - Leading Role,Helen Hunt,As Good as It Gets,Yes
1998,Actress - Leading Role,Helena Bonham Carter,The Wings of the Dove,No
1998,Actress - Leading Role,Judi Dench,Mrs Brown,No
1998,Actress - Leading Role,Julie Christie,Afterglow,No
1998,Actress - Leading Role,Kate Winslet,Titanic,No
1998,Actress - Supporting Role,Gloria Stuart,Titanic,No
1998,Actress - Supporting Role,Joan Cusack,In Out,No
1998,Actress - Supporting Role,Julianne Moore,Boogie Nights,No
1998,Actress - Supporting Role,Kim Basinger,LA Confidential,Yes
1998,Actress - Supporting Role,Minnie Driver,Good Will Hunting,No
1998,Best Picture,As Good as It Gets,NONE,No
1998,Best Picture,Good Will Hunting,NONE,No
1998,Best Picture,LA Confidential,NONE,No
1998,Best Picture,The Full Monty,NONE,No
1998,Best Picture,Titanic,NONE,Yes
1998,Cinematography,Amistad,NONE,No
1998,Cinematography,Kundun,NONE,No
1998,Cinematography,LA Confidential,NONE,No
1998,Cinematography,The Wings of the Dove,NONE,No
1998,Cinematography,Titanic,NONE,Yes
1998,Costume Design,Amistad,NONE,No
1998,Costume Design,Kundun,NONE,No
1998,Costume Design,Oscar and Lucinda,NONE,No
1998,Costume Design,The Wings of the Dove,NONE,No
1998,Costume Design,Titanic,NONE,Yes
1998,Director,Good Will Hunting,NONE,No
1998,Director,LA Confidential,NONE,No
1998,Director,The Full Monty,NONE,No
1998,Director,The Sweet Hereafter,NONE,No
1998,Director,Titanic,NONE,Yes
1998,Documentary,4 Little Girls,NONE,No
1998,Documentary,A Story of Healing,NONE,No
1998,Documentary,Alaska Spirit of the Wild,NONE,No
1998,Documentary,Amazon,NONE,No
1998,Documentary,Ayn Rand A Sense of Life,NONE,No
1998,Documentary,Colors Straight Up,NONE,No
1998,Documentary,Daughter of the Bride,NONE,No
1998,Documentary,Still Kicking The Fabulous Palm Springs Follies,NONE,No
1998,Documentary,The Long Way Home,NONE,Yes
1998,Documentary,Waco The Rules of Engagement,NONE,No
1998,Film Editing,Air Force One,NONE,No
1998,Film Editing,As Good as It Gets,NONE,No
1998,Film Editing,Good Will Hunting,NONE,No
1998,Film Editing,LA Confidential,NONE,No
1998,Film Editing,Titanic,NONE,Yes
1998,Foreign Language Film,Beyond Silence,NONE,No
1998,Foreign Language Film,Character,NONE,Yes
1998,Foreign Language Film,Four Days in September,NONE,No
1998,Foreign Language Film,Secrets of the Heart,NONE,No
1998,Foreign Language Film,The Thief,NONE,No
1998,Production Design,Gattaca,NONE,No
1998,Production Design,Kundun,NONE,No
1998,Production Design,LA Confidential,NONE,No
1998,Production Design,Men in Black,NONE,No
1998,Production Design,Titanic,NONE,Yes
1998,Score,Amistad,NONE,No
1998,Score,Anastasia,NONE,No
1998,Score,As Good as It Gets,NONE,No
1998,Score,Good Will Hunting,NONE,No
1998,Score,Kundun,NONE,No
1998,Score,LA Confidential,NONE,No
1998,Score,Men in Black,NONE,No
1998,Score,My Best Friend's Wedding,NONE,No
1998,Score,The Full Monty,NONE,No
1998,Score,Titanic,NONE,Yes
1998,Screenplay - Adapted,Donnie Brasco,NONE,No
1998,Screenplay - Adapted,LA Confidential,NONE,Yes
1998,Screenplay - Adapted,The Sweet Hereafter,NONE,No
1998,Screenplay - Adapted,The Wings of the Dove,NONE,No
1998,Screenplay - Adapted,Wag the Dog,NONE,No
1998,Screenplay - Original,As Good as It Gets,NONE,No
1998,Screenplay - Original,Boogie Nights,NONE,No
1998,Screenplay - Original,Deconstructing Harry,NONE,No
1998,Screenplay - Original,Good Will Hunting,NONE,Yes
1998,Screenplay - Original,The Full Monty,NONE,No
1998,Song,Go the Distance,Hercules,No
1998,Song,How Do I Live,Con Air,No
1998,Song,Journey to the Past,Anastasia,No
1998,Song,Miss Misery,Good Will Hunting,No
1998,Song,My Heart Will Go On,Titanic,Yes
1998,Visual Effects,Starship Troopers,NONE,No
1998,Visual Effects,The Lost World Jurassic Park,NONE,No
1998,Visual Effects,Titanic,NONE,Yes
1998,Z Filler Data,Z Filler Data,NONE,No
1999,AA Filler Data,AA Filler Data,NONE,No
1999,Actor - Leading Role,Edward Norton,American History X,No
1999,Actor - Leading Role,Ian McKellen,Gods and Monsters,No
1999,Actor - Leading Role,Nick Nolte,Affliction,No
1999,Actor - Leading Role,Roberto Benigni,Life Is Beautiful,Yes
1999,Actor - Leading Role,Tom Hanks,Saving Private Ryan,No
1999,Actor - Supporting Role,Billy Bob Thornton,A Simple Plan,No
1999,Actor - Supporting Role,Ed Harris,The Truman Show,No
1999,Actor - Supporting Role,Geoffrey Rush,Shakespeare in Love,No
1999,Actor - Supporting Role,James Coburn,Affliction,Yes
1999,Actor - Supporting Role,Robert Duvall,A CiviLAction,No
1999,Actress - Leading Role,Cate Blanchett,Elizabeth,No
1999,Actress - Leading Role,Emily Watson,Hilary and Jackie,No
1999,Actress - Leading Role,Fernanda Montenegro,Central Station,No
1999,Actress - Leading Role,Gwyneth Paltrow,Shakespeare in Love,Yes
1999,Actress - Leading Role,Meryl Streep,One True Thing,No
1999,Actress - Supporting Role,Brenda Blethyn,Little Voice,No
1999,Actress - Supporting Role,Judi Dench,Shakespeare in Love,Yes
1999,Actress - Supporting Role,Kathy Bates,Primary Colors,No
1999,Actress - Supporting Role,Lynn Redgrave,Gods and Monsters,No
1999,Actress - Supporting Role,Rachel Griffiths,Hilary and Jackie,No
1999,Best Picture,Elizabeth,NONE,No
1999,Best Picture,Life Is Beautiful,NONE,No
1999,Best Picture,Saving Private Ryan,NONE,No
1999,Best Picture,Shakespeare in Love,NONE,Yes
1999,Best Picture,The Thin Red Line,NONE,No
1999,Cinematography,A CiviLAction,NONE,No
1999,Cinematography,Elizabeth,NONE,No
1999,Cinematography,Saving Private Ryan,NONE,Yes
1999,Cinematography,Shakespeare in Love,NONE,No
1999,Cinematography,The Thin Red Line,NONE,No
1999,Costume Design,Beloved,NONE,No
1999,Costume Design,Elizabeth,NONE,No
1999,Costume Design,Pleasantville,NONE,No
1999,Costume Design,Shakespeare in Love,NONE,Yes
1999,Costume Design,Velvet Goldmine,NONE,No
1999,Director,Life Is Beautiful,NONE,No
1999,Director,Saving Private Ryan,NONE,Yes
1999,Director,Shakespeare in Love,NONE,No
1999,Director,The Thin Red Line,NONE,No
1999,Director,The Truman Show,NONE,No
1999,Documentary,A Place in the Land,NONE,No
1999,Documentary,Dancemaker,NONE,No
1999,Documentary,Lenny Bruce Swear to Tell the Truth,NONE,No
1999,Documentary,Regret to Inform,NONE,No
1999,Documentary,Sunrise over Tiananmen Square,NONE,No
1999,Documentary,The Farm Angola U S A,NONE,No
1999,Documentary,The Last Days,NONE,Yes
1999,Documentary,The Personals Improvisations on Romance in the Golden Years,NONE,No
1999,Film Editing,Life Is Beautiful,NONE,No
1999,Film Editing,Out of Sight,NONE,No
1999,Film Editing,Saving Private Ryan,NONE,Yes
1999,Film Editing,Shakespeare in Love,NONE,No
1999,Film Editing,The Thin Red Line,NONE,No
1999,Foreign Language Film,Central Station,NONE,No
1999,Foreign Language Film,Children of Heaven,NONE,No
1999,Foreign Language Film,Life Is Beautiful,NONE,Yes
1999,Foreign Language Film,Tango,NONE,No
1999,Foreign Language Film,The Grandfather,NONE,No
1999,Production Design,Elizabeth,NONE,No
1999,Production Design,Pleasantville,NONE,No
1999,Production Design,Saving Private Ryan,NONE,No
1999,Production Design,Shakespeare in Love,NONE,Yes
1999,Production Design,What Dreams May Come,NONE,No
1999,Score,A Bug's Life,NONE,No
1999,Score,Elizabeth,NONE,No
1999,Score,Life Is Beautiful,NONE,Yes
1999,Score,Mulan,NONE,No
1999,Score,Patch Adams,NONE,No
1999,Score,Pleasantville,NONE,No
1999,Score,Saving Private Ryan,NONE,No
1999,Score,Shakespeare in Love,NONE,No
1999,Score,The Prince of Egypt,NONE,No
1999,Score,The Thin Red Line,NONE,No
1999,Screenplay - Adapted,A Simple Plan,NONE,No
1999,Screenplay - Adapted,Gods and Monsters,NONE,Yes
1999,Screenplay - Adapted,Out of Sight,NONE,No
1999,Screenplay - Adapted,Primary Colors,NONE,No
1999,Screenplay - Adapted,The Thin Red Line,NONE,No
1999,Screenplay - Original,Bulworth,NONE,No
1999,Screenplay - Original,Life Is Beautiful,NONE,No
1999,Screenplay - Original,Saving Private Ryan,NONE,No
1999,Screenplay - Original,Shakespeare in Love,NONE,Yes
1999,Screenplay - Original,The Truman Show,NONE,No
1999,Song,A Soft Place to Fall,The Horse Whisperer,No
1999,Song,I Don't Want to Miss a Thing,Armageddon,No
1999,Song,That'll Do,Babe Pig in the City,No
1999,Song,The Prayer,Quest for Camelot,No
1999,Song,When You Believe,The Prince of Egypt,Yes
1999,Visual Effects,Armageddon,NONE,No
1999,Visual Effects,Mighty Joe Young,NONE,No
1999,Visual Effects,What Dreams May Come,NONE,Yes
1999,Z Filler Data,Z Filler Data,NONE,No
2000,AA Filler Data,AA Filler Data,NONE,No
2000,Actor - Leading Role,Denzel Washington,The Hurricane,No
2000,Actor - Leading Role,Kevin Spacey,American Beauty,Yes
2000,Actor - Leading Role,Richard Farnsworth,The Straight Story,No
2000,Actor - Leading Role,Russell Crowe,The Insider,No
2000,Actor - Leading Role,Sean Penn,Sweet and Lowdown,No
2000,Actor - Supporting Role,Haley Joel Osment,The Sixth Sense,No
2000,Actor - Supporting Role,Jude Law,The Talented Mr Ripley,No
2000,Actor - Supporting Role,Michael Caine,The Cider House Rules,Yes
2000,Actor - Supporting Role,Michael Clarke Duncan,The Green Mile,No
2000,Actor - Supporting Role,Tom Cruise,Magnolia,No
2000,Actress - Leading Role,Annette Bening,American Beauty,No
2000,Actress - Leading Role,Hilary Swank,Boys Don't Cry,Yes
2000,Actress - Leading Role,Janet McTeer,Tumbleweeds,No
2000,Actress - Leading Role,Julianne Moore,The End of the Affair,No
2000,Actress - Leading Role,Meryl Streep,Score of the Heart,No
2000,Actress - Supporting Role,Angelina Jolie,Girl Interrupted,Yes
2000,Actress - Supporting Role,Catherine Keener,Being John Malkovich,No
2000,Actress - Supporting Role,Chloe Sevigny,Boys Don't Cry,No
2000,Actress - Supporting Role,Samantha Morton,Sweet and Lowdown,No
2000,Actress - Supporting Role,Toni Collette,The Sixth Sense,No
2000,Best Picture,American Beauty,NONE,Yes
2000,Best Picture,The Cider House Rules,NONE,No
2000,Best Picture,The Green Mile,NONE,No
2000,Best Picture,The Insider,NONE,No
2000,Best Picture,The Sixth Sense,NONE,No
2000,Cinematography,American Beauty,NONE,Yes
2000,Cinematography,Sleepy Hollow,NONE,No
2000,Cinematography,Snow Falling on Cedars,NONE,No
2000,Cinematography,The End of the Affair,NONE,No
2000,Cinematography,The Insider,NONE,No
2000,Costume Design,Anna and the King,NONE,No
2000,Costume Design,Sleepy Hollow,NONE,No
2000,Costume Design,The Talented Mr Ripley,NONE,No
2000,Costume Design,Titus,NONE,No
2000,Costume Design,Topsy Turvy,NONE,Yes
2000,Director,American Beauty,NONE,Yes
2000,Director,Being John Malkovich,NONE,No
2000,Director,The Cider House Rules,NONE,No
2000,Director,The Insider,NONE,No
2000,Director,The Sixth Sense,NONE,No
2000,Documentary,Buena Vista Social Club,NONE,No
2000,Documentary,Eyewitness,NONE,No
2000,Documentary,Genghis Blues,NONE,No
2000,Documentary,King Gimp,NONE,No
2000,Documentary,On the Ropes,NONE,No
2000,Documentary,One Day in September,NONE,Yes
2000,Documentary,Speaking in Strings,NONE,No
2000,Documentary,The Wildest Show in the South The Angola Prison Rodeo,NONE,No
2000,Film Editing,American Beauty,NONE,No
2000,Film Editing,The Cider House Rules,NONE,No
2000,Film Editing,The Insider,NONE,No
2000,Film Editing,The Matrix,NONE,Yes
2000,Film Editing,The Sixth Sense,NONE,No
2000,Foreign Language Film,All About My Mother,NONE,Yes
2000,Foreign Language Film,Caravan,NONE,No
2000,Foreign Language Film,East West,NONE,No
2000,Foreign Language Film,Solomon and Gaenor,NONE,No
2000,Foreign Language Film,Under the Sun,NONE,No
2000,Production Design,Anna and the King,NONE,No
2000,Production Design,Sleepy Hollow,NONE,Yes
2000,Production Design,The Cider House Rules,NONE,No
2000,Production Design,The Talented Mr Ripley,NONE,No
2000,Production Design,Topsy Turvy,NONE,No
2000,Score,American Beauty,NONE,No
2000,Score,Angela's Ashes,NONE,No
2000,Score,The Cider House Rules,NONE,No
2000,Score,The Red Violin,NONE,Yes
2000,Score,The Talented Mr Ripley,NONE,No
2000,Screenplay - Adapted,Election,NONE,No
2000,Screenplay - Adapted,The Cider House Rules,NONE,Yes
2000,Screenplay - Adapted,The Green Mile,NONE,No
2000,Screenplay - Adapted,The Insider,NONE,No
2000,Screenplay - Adapted,The Talented Mr Ripley,NONE,No
2000,Screenplay - Original,American Beauty,NONE,Yes
2000,Screenplay - Original,Being John Malkovich,NONE,No
2000,Screenplay - Original,Magnolia,NONE,No
2000,Screenplay - Original,The Sixth Sense,NONE,No
2000,Screenplay - Original,Topsy Turvy,NONE,No
2000,Song,Blame Canada,South Park Bigger Longer Uncut,No
2000,Song,Music of My Heart,Music of the Heart,No
2000,Song,Save Me,Magnolia,No
2000,Song,When She Loved Me,Toy Story 2,No
2000,Song,You'll Be In My Heart,Tarzan,Yes
2000,Visual Effects,Star Wars Episode I The Phantom Menace,NONE,No
2000,Visual Effects,Stuart Little,NONE,No
2000,Visual Effects,The Matrix,NONE,Yes
2000,Z Filler Data,Z Filler Data,NONE,No
2001,AA Filler Data,AA Filler Data,NONE,No
2001,Actor - Leading Role,Ed Harris,Pollock,No
2001,Actor - Leading Role,Geoffrey Rush,Quills,No
2001,Actor - Leading Role,Javier Bardem,Before Night Falls,No
2001,Actor - Leading Role,Russell Crowe,Gladiator,Yes
2001,Actor - Leading Role,Tom Hanks,Cast Away,No
2001,Actor - Supporting Role,Albert Finney,Erin Brockovich,No
2001,Actor - Supporting Role,Benicio Del Toro,Traffic,Yes
2001,Actor - Supporting Role,Jeff Bridges,The Contender,No
2001,Actor - Supporting Role,Joaquin Phoenix,Gladiator,No
2001,Actor - Supporting Role,Willem Dafoe,Shadow of the Vampire,No
2001,Actress - Leading Role,Ellen Burstyn,Requiem for a Dream,No
2001,Actress - Leading Role,Joan Allen,The Contender,No
2001,Actress - Leading Role,Julia Roberts,Erin Brockovich,Yes
2001,Actress - Leading Role,Juliette Binoche,Chocolat,No
2001,Actress - Leading Role,Laura Linney,You Can Count on Me,No
2001,Actress - Supporting Role,Frances McDormand,Almost Famous,No
2001,Actress - Supporting Role,Judi Dench,Chocolat,No
2001,Actress - Supporting Role,Julie Walters,Billy Elliot,No
2001,Actress - Supporting Role,Kate Hudson,Almost Famous,No
2001,Actress - Supporting Role,Marcia Gay Harden,Pollock,Yes
2001,Best Picture,Chocolat,NONE,No
2001,Best Picture,Crouching Tiger Hidden Dragon,NONE,No
2001,Best Picture,Erin Brockovich,NONE,No
2001,Best Picture,Gladiator,NONE,Yes
2001,Best Picture,Traffic,NONE,No
2001,Cinematography,Crouching Tiger Hidden Dragon,NONE,Yes
2001,Cinematography,Gladiator,NONE,No
2001,Cinematography,Malena,NONE,No
2001,Cinematography,O Brother Where Art Thou?,NONE,No
2001,Cinematography,The Patriot,NONE,No
2001,Costume Design,102 Dalmatians,NONE,No
2001,Costume Design,Crouching Tiger Hidden Dragon,NONE,No
2001,Costume Design,Dr Seuss' How the Grinch Stole Christmas,NONE,No
2001,Costume Design,Gladiator,NONE,Yes
2001,Costume Design,Quills,NONE,No
2001,Director,Billy Elliot,NONE,No
2001,Director,Crouching Tiger Hidden Dragon,NONE,No
2001,Director,Erin Brockovich,NONE,No
2001,Director,Gladiator,NONE,No
2001,Director,Traffic,NONE,Yes
2001,Documentary,Big Mama,NONE,No
2001,Documentary,Curtain Call,NONE,No
2001,Documentary,Dolphins,NONE,No
2001,Documentary,Into the Arms of Strangers Stories of the Kindertransport,NONE,Yes
2001,Documentary,Legacy,NONE,No
2001,Documentary,Long Night's Journey into Day,NONE,No
2001,Documentary,On Tiptoe Gentle Steps to Freedom,NONE,No
2001,Documentary,Scottsboro An American Tragedy,NONE,No
2001,Documentary,The Man on Lincoln's Nose,NONE,No
2001,Film Editing,Almost Famous,NONE,No
2001,Film Editing,Crouching Tiger Hidden Dragon,NONE,No
2001,Film Editing,Gladiator,NONE,No
2001,Film Editing,Traffic,NONE,Yes
2001,Film Editing,Wonder Boys,NONE,No
2001,Foreign Language Film,Amores Perros,NONE,No
2001,Foreign Language Film,Crouching Tiger Hidden Dragon,NONE,Yes
2001,Foreign Language Film,Divided We Fall,NONE,No
2001,Foreign Language Film,Everybody Famous!,NONE,No
2001,Foreign Language Film,The Taste of Others,NONE,No
2001,Production Design,Crouching Tiger Hidden Dragon,NONE,Yes
2001,Production Design,Dr Seuss' How the Grinch Stole Christmas,NONE,No
2001,Production Design,Gladiator,NONE,No
2001,Production Design,Quills,NONE,No
2001,Production Design,Vatel,NONE,No
2001,Score,Chocolat,NONE,No
2001,Score,Crouching Tiger Hidden Dragon,NONE,Yes
2001,Score,Gladiator,NONE,No
2001,Score,Malena,NONE,No
2001,Score,The Patriot,NONE,No
2001,Screenplay - Adapted,Chocolat,NONE,No
2001,Screenplay - Adapted,Crouching Tiger Hidden Dragon,NONE,No
2001,Screenplay - Adapted,O Brother Where Art Thou?,NONE,No
2001,Screenplay - Adapted,Traffic,NONE,Yes
2001,Screenplay - Adapted,Wonder Boys,NONE,No
2001,Screenplay - Original,Almost Famous,NONE,Yes
2001,Screenplay - Original,Billy Elliot,NONE,No
2001,Screenplay - Original,Erin Brockovich,NONE,No
2001,Screenplay - Original,Gladiator,NONE,No
2001,Screenplay - Original,You Can Count on Me,NONE,No
2001,Song,A Fool in Love,Meet the Parents,No
2001,Song,A Love Before Time,Crouching Tiger Hidden Dragon,No
2001,Song,I've Seen it All,Dancer in the Dark,No
2001,Song,My Funny Friend and Me,The Emperor's New Groove,No
2001,Song,Things Have Changed,Wonder Boys,Yes
2001,Visual Effects,Gladiator,NONE,Yes
2001,Visual Effects,Hollow Man,NONE,No
2001,Visual Effects,The Perfect Storm,NONE,No
2001,Z Filler Data,Z Filler Data,NONE,No
2002,AA Filler Data,AA Filler Data,NONE,No
2002,Actor - Leading Role,Denzel Washington,Training Day,Yes
2002,Actor - Leading Role,Russell Crowe,A Beautiful Mind,No
2002,Actor - Leading Role,Sean Penn,I Am Sam,No
2002,Actor - Leading Role,Tom Wilkinson,In the Bedroom,No
2002,Actor - Leading Role,Will Smith,Ali,No
2002,Actor - Supporting Role,Ben Kingsley,Sexy Beast,No
2002,Actor - Supporting Role,Ethan Hawke,Training Day,No
2002,Actor - Supporting Role,Ian McKellen,The Lord of the Rings The Fellowship of the Ring,No
2002,Actor - Supporting Role,Jim Broadbent,Iris,Yes
2002,Actor - Supporting Role,Jon Voight,Ali,No
2002,Actress - Leading Role,Halle Berry,Monster's Ball,Yes
2002,Actress - Leading Role,Judi Dench,Iris,No
2002,Actress - Leading Role,Nicole Kidman,Moulin Rouge,No
2002,Actress - Leading Role,Renee Zellweger,Bridget Jones's Diary,No
2002,Actress - Leading Role,Sissy Spacek,In the Bedroom,No
2002,Actress - Supporting Role,Helen Mirren,Gosford Park,No
2002,Actress - Supporting Role,Jennifer Connelly,A Beautiful Mind,Yes
2002,Actress - Supporting Role,Kate Winslet,Iris,No
2002,Actress - Supporting Role,Maggie Smith,Gosford Park,No
2002,Actress - Supporting Role,Marisa Tomei,In the Bedroom,No
2002,Animated Feature,Jimmy Neutron Boy Genius,NONE,No
2002,Animated Feature,Monsters Inc,NONE,No
2002,Animated Feature,Shrek,NONE,Yes
2002,Best Picture,A Beautiful Mind,NONE,Yes
2002,Best Picture,Gosford Park,NONE,No
2002,Best Picture,In the Bedroom,NONE,No
2002,Best Picture,Moulin Rouge,NONE,No
2002,Best Picture,The Lord of the Rings The Fellowship of the Ring,NONE,No
2002,Cinematography,Amelie,NONE,No
2002,Cinematography,Black Hawk Down,NONE,No
2002,Cinematography,Moulin Rouge,NONE,No
2002,Cinematography,The Lord of the Rings The Fellowship of the Ring,NONE,Yes
2002,Cinematography,The Man Who Wasn't There,NONE,No
2002,Costume Design,Gosford Park,NONE,No
2002,Costume Design,Harry Potter and the Sorcerer's Stone,NONE,No
2002,Costume Design,Moulin Rouge,NONE,Yes
2002,Costume Design,The Affair of the Necklace,NONE,No
2002,Costume Design,The Lord of the Rings The Fellowship of the Ring,NONE,No
2002,Director,A Beautiful Mind,NONE,Yes
2002,Director,Black Hawk Down,NONE,No
2002,Director,Gosford Park,NONE,No
2002,Director,Mulholland Drive,NONE,No
2002,Director,The Lord of the Rings The Fellowship of the Ring,NONE,No
2002,Documentary,Artists and Orphans A True Drama,NONE,No
2002,Documentary,Children Underground,NONE,No
2002,Documentary,LaLee's Kin The Legacy of Cotton,NONE,No
2002,Documentary,Murder on a Sunday Morning,NONE,Yes
2002,Documentary,Promises,NONE,No
2002,Documentary,Sing!,NONE,No
2002,Documentary,Thoth,NONE,No
2002,Documentary,War Photographer,NONE,No
2002,Film Editing,A Beautiful Mind,NONE,No
2002,Film Editing,Black Hawk Down,NONE,Yes
2002,Film Editing,Memento,NONE,No
2002,Film Editing,Moulin Rouge,NONE,No
2002,Film Editing,The Lord of the Rings The Fellowship of the Ring,NONE,No
2002,Foreign Language Film,Amelie,NONE,No
2002,Foreign Language Film,Elling,NONE,No
2002,Foreign Language Film,Lagaan,NONE,No
2002,Foreign Language Film,No Man's Land,NONE,Yes
2002,Foreign Language Film,Son of the Bride,NONE,No
2002,Production Design,Amelie,NONE,No
2002,Production Design,Gosford Park,NONE,No
2002,Production Design,Harry Potter and the Sorcerer's Stone,NONE,No
2002,Production Design,Moulin Rouge,NONE,Yes
2002,Production Design,The Lord of the Rings The Fellowship of the Ring,NONE,No
2002,Score,A Beautiful Mind,NONE,No
2002,Score,A I Artificial Intelligence,NONE,No
2002,Score,Harry Potter and the Sorcerer's Stone,NONE,No
2002,Score,Monsters Inc,NONE,No
2002,Score,The Lord of the Rings The Fellowship of the Ring,NONE,Yes
2002,Screenplay - Adapted,A Beautiful Mind,NONE,Yes
2002,Screenplay - Adapted,Ghost World,NONE,No
