Best Actor,
Daniel Day-Lewis,New York Film Critics
Joaquin Phoenix,LA Film Critics
Daniel Day-Lewis,DC Film Critics
Daniel Day-Lewis,Boston Film Critics
Joaquin Phoenix,San Francisco Critics
Daniel Day-Lewis,Las Vegas Critics
Daniel Day-Lewis,Houston Critics
Daniel Day-Lewis,National Society of Film Critics
Daniel Day-Lewis,Screen Actors Guild
Daniel Day-Lewis,Critics Choice
Daniel Day-Lewis,Golden Globes-Drama
Hugh Jackman,Golden Globes-Musical or Comedy
