Best Documentary Feature,
The Gatekeepers,LA Film Critics
Bully,DC Film Critics
How to Survive a Plague,Boston Film Critics
The Waiting Room,San Francisco Critics
Bully,Las Vegas Critics
Searching for Sugar Man,Houston Critics
The gatekeepers,National Society of Film Critics
Searching for Sugar Man,Directors Guild
