Best Original Screenplay,
Looper,DC Film Critics
Zero Dark Thirty,San Francisco Critics
Looper,Las Vegas Critics
Django Unchained,Critics Choice
Django Unchanged,Golden Globes
Zero Dark Thirty,Writers Guild
