Best Supporting Actor,
Matthew McConaughey,New York Film Critics
Dwight Henry,LA Film Critics
Philip Seymour Hoffman,DC Film Critics
Ezra Miller,Boston Film Critics
Tommy Lee Jones,San Francisco Critics
Tommy Lee Jones,Las Vegas Critics
Tommy Lee Jones,Houston Critics
Matthew McConaughey,National Society of Film Critics
Tommy Lee Jones,Screen Actors Guild
Philip Seymour Hoffman,Critics Choice
Christoph Waltz,Golden Globes
