Best Film Editing,
Zero Dark Thirty,LA Film Critics
Zero Dark Thirty,Boston Film Critics
Argo,San Francisco Critics
Zero Dark Thirty,Las Vegas Critics
Zero Dark Thirty,Critics Choice
