Best Actress,
Jennifer Lawrence,Silver Linings Playbook
Jessica Chastain,Zero Dark Thirty
Emmanuelle Riva,Armour
Quvenzhane Wallis,Beasts of the Southern Wild
Naomi Watts,The Impossible
