Year,Award,Name,Issuer
1999,Documentary,The Farm Angola USA,New York Film Critics
1999,Documentary,Vietnam Long Time Coming,Directors Guild
1999,Documentary,Wild Man Blues,Critics Choice
1999,Foreign Language Film,A Taste of Cherry,Boston Film Critics
1999,Foreign Language Film,Central Station,Golden Globes
1999,Foreign Language Film,Life Is Beautiful,Critics Choice
1999,Foreign Language Film,Life Is Beautiful,Las Vegas Critics
1999,Foreign Language Film,The Celebration,LA Film Critics
1999,Foreign Language Film,The Celebration,New York Film Critics
1999,Production Design,Pleasantville,LA Film Critics
1999,Score,A Simple Plan,Las Vegas Critics
1999,Score,The Butcher Boy,LA Film Critics
1999,Score,The Truman Show,Golden Globes
1999,Screenplay - Adapted,A Simple Plan,Critics Choice
1999,Screenplay - Adapted,Out of Sight,Boston Film Critics
1999,Screenplay - Adapted,Out of Sight,Writers Guild
1999,Screenplay - Original,Bulworth,LA Film Critics
1999,Screenplay - Original,Shakespeare in Love,Critics Choice
1999,Screenplay - Original,Shakespeare in Love,Golden Globes
1999,Screenplay - Original,Shakespeare in Love,Las Vegas Critics
1999,Screenplay - Original,Shakespeare in Love,New York Film Critics
1999,Screenplay - Original,Shakespeare in Love,Writers Guild
1999,Song,Freak The Mighty,Las Vegas Critics
1999,Z Filler Data,Z Filler Data,Z Filler Data
2000,AA Filler Data,AA Filler Data,AA Filler Data
2000,Actor - Leading Role,Denzel Washington,Golden Globes-Drama
2000,Actor - Leading Role,Jim Carrey,Boston Film Critics
2000,Actor - Leading Role,Jim Carrey,Golden Globes-Musical or Comedy
2000,Actor - Leading Role,Kevin Spacey,Las Vegas Critics
2000,Actor - Leading Role,Kevin Spacey,Screen Actors Guild
2000,Actor - Leading Role,Richard Famsworth,New York Film Critics
2000,Actor - Leading Role,Russell Crowe,Critics Choice
2000,Actor - Leading Role,Russell Crowe,LA Film Critics
2000,Actor - Supporting Role,Christopher Plummer,Boston Film Critics
2000,Actor - Supporting Role,Christopher Plummer,LA Film Critics
2000,Actor - Supporting Role,Haley Joel Osment,Las Vegas Critics
2000,Actor - Supporting Role,John Malkovich,New York Film Critics
2000,Actor - Supporting Role,Michael Caine,Screen Actors Guild
2000,Actor - Supporting Role,Michael Clarke Duncan,Critics Choice
2000,Actor - Supporting Role,Tom Cruise,Golden Globes
2000,Actress - Leading Role,Annette Bening,Screen Actors Guild
2000,Actress - Leading Role,Ellen Burstyn,Boston Film Critics
2000,Actress - Leading Role,Hilary Swank,Critics Choice
2000,Actress - Leading Role,Hilary Swank,Golden Globes-Drama
2000,Actress - Leading Role,Hilary Swank,LA Film Critics
2000,Actress - Leading Role,Hilary Swank,Las Vegas Critics
2000,Actress - Leading Role,Hilary Swank,New York Film Critics
2000,Actress - Leading Role,Janet McTeer,Golden Globes-Musical or Comedy
2000,Actress - Supporting Role,Angelina Jolie,Critics Choice
2000,Actress - Supporting Role,Angelina Jolie,Golden Globes
2000,Actress - Supporting Role,Catherine Keener,New York Film Critics
2000,Actress - Supporting Role,Chloe Sevigny,Boston Film Critics
2000,Actress - Supporting Role,Chloe Sevigny,LA Film Critics
2000,Best Picture,American Beauty,Critics Choice
2000,Best Picture,American Beauty,Golden Globes-Drama
2000,Best Picture,American Beauty,Las Vegas Critics
2000,Best Picture,American Beauty,Producers Guild
2000,Best Picture,The Insider,LA Film Critics
2000,Best Picture,Three Kings,Boston Film Critics
2000,Best Picture,Topsy Turvy,New York Film Critics
2000,Best Picture,Topsy Turvy,New York Film Critics
2000,Best Picture,Toy Story 2,Golden Globes-Musical or Comedy
2000,Cinematography,Sleepy Hollow,Boston Film Critics
2000,Cinematography,Snow Falling on the Cedars,Las Vegas Critics
2000,Cinematography,The Insider,LA Film Critics
2000,Cinematography,The Straight Story,New York Film Critics
2000,Costume Design,Star Wars Episode I The Phantom Menace,Las Vegas Critics
2000,Director,American Beauty,Critics Choice
2000,Director,American Beauty,Directors Guild
2000,Director,American Beauty,Golden Globes
2000,Director,American Beauty,LA Film Critics
2000,Director,Boys Don't Cry,Las Vegas Critics
2000,Director,Erin Brockovich,New York Film Critics
2000,Director,Three Kings,Boston Film Critics
2000,Director,Topsy Turvy,New York Film Critics
2000,Documentary,Buena Vista Social Club,Critics Choice
2000,Documentary,Buena Vista Social Club,LA Film Critics
2000,Documentary,Buena Vista Social Club,New York Film Critics
2000,Documentary,On the Ropes,Directors Guild
2000,Documentary,Trekkies,Las Vegas Critics
2000,Film Editing,Being John Malkovich,Las Vegas Critics
2000,Foreign Language Film,All About My Mother,Boston Film Critics
2000,Foreign Language Film,All About My Mother,Critics Choice
2000,Foreign Language Film,All About My Mother,Golden Globes
2000,Foreign Language Film,All About My Mother,LA Film Critics
2000,Foreign Language Film,All About My Mother,New York Film Critics
2000,Foreign Language Film,Autumn Tale,Las Vegas Critics
2000,Production Design,Sleepy Hollow,LA Film Critics
2000,Score,Angela's Ashes,Las Vegas Critics
2000,Score,Saving Private Ryan,Critics Choice
2000,Score,South Park Bigger Longer Uncut,LA Film Critics
2000,Score,The Legend of 1900,Golden Globes
2000,Screenplay - Adapted,Boys Don't Cry,Las Vegas Critics
2000,Screenplay - Adapted,Election,New York Film Critics
2000,Screenplay - Adapted,Election,Writers Guild
2000,Screenplay - Adapted,The Green Mile,Critics Choice
2000,Screenplay - Original,American Beauty,Critics Choice
2000,Screenplay - Original,American Beauty,Golden Globes
2000,Screenplay - Original,American Beauty,Writers Guild
2000,Screenplay - Original,Being John Malkovich,Boston Film Critics
2000,Screenplay - Original,Being John Malkovich,LA Film Critics
2000,Screenplay - Original,Being John Malkovich,Las Vegas Critics
2000,Song,Beautiful Stranger,Las Vegas Critics
2000,Visual Effects,The Matrix,Las Vegas Critics
2000,Z Filler Data,Z Filler Data,Z Filler Data
2001,AA Filler Data,AA Filler Data,AA Filler Data
2001,Actor - Leading Role,Benicio del Toro,Las Vegas Critics
2001,Actor - Leading Role,Benicio del Toro,Screen Actors Guild
2001,Actor - Leading Role,Colin Ferrell,Boston Film Critics
2001,Actor - Leading Role,Geoffrey Rush,Las Vegas Critics
2001,Actor - Leading Role,George Clooney,Golden Globes-Musical or Comedy
2001,Actor - Leading Role,Michael Douglas,LA Film Critics
2001,Actor - Leading Role,Russell Crowe,Critics Choice
2001,Actor - Leading Role,Tom Hanks,Golden Globes-Drama
2001,Actor - Leading Role,Tom Hanks,New York Film Critics
2001,Actor - Supporting Role,Albert Finney,Screen Actors Guild
2001,Actor - Supporting Role,Benicio Del Toro,Golden Globes
2001,Actor - Supporting Role,Benicio Del Toro,New York Film Critics
2001,Actor - Supporting Role,Fred Willard,Boston Film Critics
2001,Actor - Supporting Role,Joaquin Phoenix,Critics Choice
2001,Actor - Supporting Role,Willem Dafoe,LA Film Critics
2001,Actress - Leading Role,Ellen Burstyn,Las Vegas Critics
2001,Actress - Leading Role,Hilary Swank,Boston Film Critics
2001,Actress - Leading Role,Julia Roberts,Critics Choice
2001,Actress - Leading Role,Julia Roberts,Golden Globes-Drama
2001,Actress - Leading Role,Julia Roberts,LA Film Critics
2001,Actress - Leading Role,Julia Roberts,Screen Actors Guild
2001,Actress - Leading Role,Laura Linney,New York Film Critics
2001,Actress - Leading Role,Renee Zellweger,Golden Globes-Musical or Comedy
2001,Actress - Supporting Role,Frances McDormand,Boston Film Critics
2001,Actress - Supporting Role,Frances McDormand,Critics Choice
2001,Actress - Supporting Role,Frances McDormand,LA Film Critics
2001,Actress - Supporting Role,Kate Hudson,Las Vegas Critics
2001,Actress - Supporting Role,Kate Winslet,Golden Globes
2001,Actress - Supporting Role,Marcia Gay Harden,New York Film Critics
2001,Best Picture,Almost Famous,Boston Film Critics
2001,Best Picture,Almost Famous,Golden Globes-Musical or Comedy
2001,Best Picture,Almost Famous,Las Vegas Critics
2001,Best Picture,Crouching Tiger Hidden Dragon,LA Film Critics
2001,Best Picture,Gladiator,Critics Choice
2001,Best Picture,Gladiator,Golden Globes-Drama
2001,Best Picture,Gladiator,Producers Guild
2001,Best Picture,Traffic,New York Film Critics
2001,Best Picture,Traffic,New York Film Critics
2001,Cinematography,Crouching Tiger Hidden Dragon,Boston Film Critics
2001,Cinematography,Crouching Tiger Hidden Dragon,LA Film Critics
2001,Cinematography,Crouching Tiger Hidden Dragon,New York Film Critics
2001,Cinematography,O Brother Where Art Thou,Las Vegas Critics
2001,Costume Design,Gladiator,Las Vegas Critics
2001,Director,Almost Famous,Boston Film Critics
2001,Director,Crouching Tiger Hidden Dragon,Directors Guild
2001,Director,Crouching Tiger Hidden Dragon,Golden Globes
2001,Director,Erin Brockovich,Critics Choice
2001,Director,Erin Brockovich,Las Vegas Critics
2001,Director,Traffic,LA Film Critics
2001,Director,Traffic,New York Film Critics
2001,Documentary,Dark Days,LA Film Critics
2001,Documentary,High School Boot Camp,Directors Guild
2001,Documentary,The Life and Times of Hank Greenberg,Critics Choice
2001,Documentary,The Life and Times of Hank Greenberg,Las Vegas Critics
2001,Documentary,The Life and Times of Hank Greenberg,New York Film Critics
2001,Film Editing,Gladiator,Las Vegas Critics
2001,Foreign Language Film,Crouching Tiger Hidden Dragon,Boston Film Critics
2001,Foreign Language Film,Crouching Tiger Hidden Dragon,Critics Choice
2001,Foreign Language Film,Crouching Tiger Hidden Dragon,Golden Globes
2001,Foreign Language Film,Girl on the Bridge,Las Vegas Critics
2001,Foreign Language Film,Yi Yi,LA Film Critics
2001,Foreign Language Film,Yi Yi,New York Film Critics
2001,Production Design,Crouching Tiger Hidden Dragon,LA Film Critics
2001,Score,Crouching Tiger Hidden Dragon,LA Film Critics
2001,Score,Gladiator,Golden Globes
2001,Score,Gladiator,Las Vegas Critics
2001,Score,The Talented Mr Ripley,Critics Choice
2001,Screenplay - Adapted,Traffic,Critics Choice
2001,Screenplay - Adapted,Traffic,Golden Globes
2001,Screenplay - Adapted,Traffic,Writers Guild
2001,Screenplay - Adapted,Wonder Boys,Boston Film Critics
2001,Screenplay - Adapted,Wonder Boys,Las Vegas Critics
2001,Screenplay - Original,Almost Famous,Critics Choice
2001,Screenplay - Original,You Can Count of Me,LA Film Critics
2001,Screenplay - Original,You Can Count of Me,New York Film Critics
2001,Screenplay - Original,You can Count of ME,Writers Guild
2001,Song,Things Have Changed,Las Vegas Critics
2001,Visual Effects,Gladiator,Las Vegas Critics
2001,Z Filler Data,Z Filler Data,Z Filler Data
2002,AA Filler Data,AA Filler Data,AA Filler Data
2002,Actor - Leading Role,Denzel Washington,Boston Film Critics
2002,Actor - Leading Role,Denzel Washington,LA Film Critics
2002,Actor - Leading Role,Gene Hackman,Golden Globes-Musical or Comedy
2002,Actor - Leading Role,Guy Pearce,Las Vegas Critics
2002,Actor - Leading Role,Russell Crowe,Critics Choice
2002,Actor - Leading Role,Russell Crowe,Golden Globes-Drama
2002,Actor - Leading Role,Russell Crowe,Screen Actors Guild
2002,Actor - Leading Role,Tom Wilkinson,New York Film Critics
2002,Actor - Supporting Role,Ben Kingsley,Boston Film Critics
2002,Actor - Supporting Role,Ben Kingsley,Critics Choice
2002,Actor - Supporting Role,Ian McKellen,Screen Actors Guild
2002,Actor - Supporting Role,Jim Broadbent,Golden Globes
2002,Actor - Supporting Role,Jim Broadbent,LA Film Critics
2002,Actor - Supporting Role,Seteve Busceni,Las Vegas Critics
2002,Actor - Supporting Role,Seteve Busceni,New York Film Critics
2002,Actress - Leading Role,Ellen Burstyn,Boston Film Critics
2002,Actress - Leading Role,Halle Berry,Screen Actors Guild
2002,Actress - Leading Role,Nicole Kidman,Golden Globes-Musical or Comedy
2002,Actress - Leading Role,Sissy Spacek,Critics Choice
2002,Actress - Leading Role,Sissy Spacek,Golden Globes-Drama
2002,Actress - Leading Role,Sissy Spacek,LA Film Critics
2002,Actress - Leading Role,Sissy Spacek,New York Film Critics
2002,Actress - Leading Role,Tilda Swinton,Las Vegas Critics
2002,Actress - Supporting Role,Cameron Diaz,Boston Film Critics
2002,Actress - Supporting Role,Helen Mirren,New York Film Critics
2002,Actress - Supporting Role,Jennifer Connelly,Critics Choice
2002,Actress - Supporting Role,Jennifer Connelly,Golden Globes
2002,Actress - Supporting Role,Kete Winslet,LA Film Critics
2002,Actress - Supporting Role,Naomi Watts,Las Vegas Critics
2002,Animated Feature,Shrek,Critics Choice
2002,Animated Feature,Shrek,LA Film Critics
2002,Animated Feature,Shrek,Las Vegas Critics
2002,Animated Feature,Waking Life,New York Film Critics
2002,Best Picture,A Beautiful Mind,Critics Choice
2002,Best Picture,A Beautiful Mind,Golden Globes-Drama
2002,Best Picture,In the bedroom,LA Film Critics
2002,Best Picture,Memento,Las Vegas Critics
2002,Best Picture,Moulin Rouge,Golden Globes-Musical or Comedy
2002,Best Picture,Moulin Rouge,Producers Guild
2002,Best Picture,Mulholland Drive,Boston Film Critics
2002,Best Picture,Mulholland Drive,New York Film Critics
2002,Best Picture,Mulholland Drive,New York Film Critics
2002,Cinematography,In the Mood for Love,New York Film Critics
2002,Cinematography,The Lord of the Rings The Fellowship of the Ring,Las Vegas Critics
2002,Cinematography,The Man Who Wasn't There,Boston Film Critics
2002,Cinematography,The Man Who Wasn't There,LA Film Critics
2002,Costume Design,The Lord of the Rings The Fellowship of the Ring,Las Vegas Critics
2002,Director,A Beautiful Mind,Critics Choice
2002,Director,A Beautiful Mind,Directors Guild
2002,Director,Gosford Park,Golden Globes
2002,Director,Gosford Park,New York Film Critics
2002,Director,Mulholland Drive,Boston Film Critics
2002,Director,Mulholland Drive,LA Film Critics
2002,Director,The Lord of the Rings The Fellowship of the Ring,Las Vegas Critics
2002,Documentary,Startup com,Directors Guild
2002,Documentary,Startup com,Las Vegas Critics
2002,Documentary,The Gleaners and I,LA Film Critics
2002,Documentary,The Gleaners and I,New York Film Critics
2002,Film Editing,Memento,Las Vegas Critics
2002,Foreign Language Film,Amelie,Critics Choice
2002,Foreign Language Film,In the Mood for Love,New York Film Critics
2002,Foreign Language Film,Love's a Bitch,Boston Film Critics
2002,Foreign Language Film,No Man's Land,Golden Globes
2002,Foreign Language Film,No Man's Land,LA Film Critics
2002,Foreign Language Film,No Man's Land,Las Vegas Critics
2002,Production Design,Moulin Rouge,LA Film Critics
2002,Score,Gladiator,Critics Choice
2002,Score,Moulin Rouge,Golden Globes
2002,Score,The Lord of the Rings The Fellowship of the Ring,LA Film Critics
2002,Score,The Lord of the Rings The Fellowship of the Ring,Las Vegas Critics
2002,Screenplay - Adapted,A Beautiful Mind,Golden Globes
2002,Screenplay - Adapted,A Beautiful Mind,Writers Guild
2002,Screenplay - Original,Gosford Park,New York Film Critics
2002,Screenplay - Original,Gosford Park,Writers Guild
2002,Screenplay - Original,Memento,Boston Film Critics
2002,Screenplay - Original,Memento,Critics Choice
2002,Screenplay - Original,Memento,LA Film Critics
2002,Screenplay - Original,Memento,Las Vegas Critics
2002,Song,May It Be,Las Vegas Critics
2002,Visual Effects,The Lord of the Rings The Fellowship of the Ring,Las Vegas Critics
2002,Z Filler Data,Z Filler Data,Z Filler Data
2003,AA Filler Data,AA Filler Data,AA Filler Data
2003,Actor - Leading Role,Adrien Brody,Boston Film Critics
2003,Actor - Leading Role,Daniel Day Lewis,Critics Choice
2003,Actor - Leading Role,Daniel Day Lewis,Las Vegas Critics
2003,Actor - Leading Role,Daniel Day Lewis,New York Film Critics
2003,Actor - Leading Role,Daniel Day Lewis,Screen Actors Guild
2003,Actor - Leading Role,Jack Nicholson,DC Film Critics
2003,Actor - Leading Role,Jack Nicholson,Golden Globes-Drama
2003,Actor - Leading Role,Jack Nicholson,LA Film Critics
2003,Actor - Leading Role,Michael Caine,San Francisco Critics
2003,Actor - Leading Role,Richard Gere,Golden Globes-Musical or Comedy
2003,Actor - Supporting Role,Alan Arkin,Boston Film Critics
2003,Actor - Supporting Role,Chris Cooper,Critics Choice
2003,Actor - Supporting Role,Chris Cooper,DC Film Critics
2003,Actor - Supporting Role,Chris Cooper,Golden Globes
2003,Actor - Supporting Role,Chris Cooper,LA Film Critics
2003,Actor - Supporting Role,Chris Cooper,San Francisco Critics
2003,Actor - Supporting Role,Christopher Walken,Screen Actors Guild
2003,Actor - Supporting Role,Dennis Quaid,New York Film Critics
2003,Actor - Supporting Role,John C Reilly,Las Vegas Critics
2003,Actress - Leading Role,Diane Lane,New York Film Critics
2003,Actress - Leading Role,Isabelle Huppert,San Francisco Critics
2003,Actress - Leading Role,Julianne Moore,Critics Choice
2003,Actress - Leading Role,Julianne Moore,DC Film Critics
2003,Actress - Leading Role,Julianne Moore,LA Film Critics
2003,Actress - Leading Role,Nicole Kidman,Golden Globes-Drama
2003,Actress - Leading Role,Nicole Kidman,Las Vegas Critics
2003,Actress - Leading Role,Renee Zellweger,Golden Globes-Musical or Comedy
2003,Actress - Leading Role,Renee Zellweger,Screen Actors Guild
2003,Actress - Leading Role,Tilda Swinton,Boston Film Critics
2003,Actress - Supporting Role,Catherine Zeta Jones,Critics Choice
2003,Actress - Supporting Role,Edie Falco,LA Film Critics
2003,Actress - Supporting Role,Kathy Bates,DC Film Critics
2003,Actress - Supporting Role,Meryl Streep,Golden Globes
2003,Actress - Supporting Role,Miranda Richardson,San Francisco Critics
2003,Actress - Supporting Role,Patricia Clarkson,New York Film Critics
2003,Actress - Supporting Role,Susan Sarandon,Las Vegas Critics
2003,Actress - Supporting Role,Tono Coliette,Boston Film Critics
2003,Animated Feature,Lilo and Stitch,DC Film Critics
2003,Animated Feature,Lilo and Stitch,Las Vegas Critics
2003,Animated Feature,Spirited Away,Critics Choice
2003,Animated Feature,Spirited Away,LA Film Critics
2003,Animated Feature,Spirited Away,New York Film Critics
2003,Best Picture,About Schmidt,LA Film Critics
2003,Best Picture,Chicago,Critics Choice
2003,Best Picture,Chicago,Golden Globes-Musical or Comedy
2003,Best Picture,Chicago,Producers Guild
2003,Best Picture,Confessions of a Dangerous Mind,Las Vegas Critics
2003,Best Picture,Far From Heaven,New York Film Critics
2003,Best Picture,Far From Heaven,New York Film Critics
2003,Best Picture,Road to Pardition,DC Film Critics
2003,Best Picture,The Hours,Golden Globes-Drama
2003,Best Picture,The Pianist,Boston Film Critics
2003,Best Picture,The Pianist,San Francisco Critics
2003,Cinematography,Far From Heaven,Boston Film Critics
2003,Cinematography,Far From Heaven,LA Film Critics
2003,Cinematography,Far From Heaven,New York Film Critics
2003,Cinematography,Gerry,New York Film Critics
2003,Cinematography,Road to Perdition,Las Vegas Critics
2003,Costume Design,The Lord of the Rings The Two Towers,Las Vegas Critics
2003,Director,Adaptation,DC Film Critics
2003,Director,Antwone Fisher,DC Film Critics
2003,Director,Catch Me If You Can,Critics Choice
2003,Director,Chicago,Directors Guild
2003,Director,Far From Heaven,New York Film Critics
2003,Director,Far From Heaven,San Francisco Critics
2003,Director,Gangs of New York,Golden Globes
2003,Director,Road to Pardition,DC Film Critics
2003,Director,Talk to Her,LA Film Critics
2003,Director,The Lord of the Rings The Two Towers,Las Vegas Critics
2003,Director,The Pianist,Boston Film Critics
2003,Documentary,Bowling for Columbine,Critics Choice
2003,Documentary,Bowling for Columbine,Las Vegas Critics
2003,Documentary,Rivers and Tides,San Francisco Critics
2003,Documentary,Standing in the Shadows of Motown,New York Film Critics
2003,Documentary,The Cockettes,LA Film Critics
2003,Documentary,The Kid Stays in the Picture,DC Film Critics
2003,Documentary,The Smith Family,Directors Guild
2003,Film Editing,The Lord of the Rings The Two Towers,Las Vegas Critics
2003,Foreign Language Film,And Your Mother Too,Boston Film Critics
2003,Foreign Language Film,And Your Mother Too,Critics Choice
2003,Foreign Language Film,And Your Mother Too,LA Film Critics
2003,Foreign Language Film,And Your Mother Too,New York Film Critics
2003,Foreign Language Film,And Your Mother Too,San Francisco Critics
2003,Foreign Language Film,Talk to Her,Golden Globes
2003,Foreign Language Film,Y Tu Mama Tambien,Las Vegas Critics
2003,Production Design,Frida,Las Vegas Critics
2003,Production Design,Gangs of New York,LA Film Critics
2003,Score,25th Hour,Las Vegas Critics
2003,Score,Far From Heaven,LA Film Critics
2003,Score,Frida,Golden Globes
2003,Score,The Lord of the Rings The Two Towers,Critics Choice
2003,Screenplay - Adapted,About Schmidt,Golden Globes
2003,Screenplay - Adapted,About Schmidt,LA Film Critics
2003,Screenplay - Adapted,Adaptation,Boston Film Critics
2003,Screenplay - Adapted,Adaptation,Critics Choice
2003,Screenplay - Adapted,Adaptation,DC Film Critics
2003,Screenplay - Adapted,Adaptation,New York Film Critics
2003,Screenplay - Adapted,The Hours,Writers Guild
2003,Screenplay - Original,Bowling for Columbine,Writers Guild
2003,Screenplay - Original,My Big Fat Greek Wedding,DC Film Critics
2003,Song,The Hands that Built America,Las Vegas Critics
2003,Visual Effects,The Lord of the Rings The Two Towers,Las Vegas Critics
2003,Visual Effects,The Lord of the Rings The Two Towers,Visual Effects Society
2003,Z Filler Data,Z Filler Data,Z Filler Data
2004,AA Filler Data,AA Filler Data,AA Filler Data
2004,Actor - Leading Role,Bill Murray,Boston Film Critics
2004,Actor - Leading Role,Bill Murray,DC Film Critics
2004,Actor - Leading Role,Bill Murray,Golden Globes-Musical or Comedy
2004,Actor - Leading Role,Bill Murray,LA Film Critics
2004,Actor - Leading Role,Bill Murray,New York Film Critics
2004,Actor - Leading Role,Bill Murray,San Francisco Critics
2004,Actor - Leading Role,Johnny Depp,Screen Actors Guild
2004,Actor - Leading Role,Sean Penn,Critics Choice
2004,Actor - Leading Role,Sean Penn,Golden Globes-Drama
2004,Actor - Leading Role,Sean Penn,Las Vegas Critics
2004,Actor - Supporting Role,Benicio Del Toro,DC Film Critics
2004,Actor - Supporting Role,Bill Nighy,LA Film Critics
2004,Actor - Supporting Role,Eugene Levy,New York Film Critics
2004,Actor - Supporting Role,Peter Sarsgaard,Boston Film Critics
2004,Actor - Supporting Role,Peter Sarsgaard,San Francisco Critics
2004,Actor - Supporting Role,Sean Astin,Las Vegas Critics
2004,Actor - Supporting Role,Tim Robbins,Critics Choice
2004,Actor - Supporting Role,Tim Robbins,Golden Globes
2004,Actor - Supporting Role,Tim Robbins,Screen Actors Guild
2004,Actress - Leading Role,Charlize Theron,Critics Choice
2004,Actress - Leading Role,Charlize Theron,Golden Globes-Drama
2004,Actress - Leading Role,Charlize Theron,Las Vegas Critics
2004,Actress - Leading Role,Charlize Theron,San Francisco Critics
2004,Actress - Leading Role,Charlize Theron,Screen Actors Guild
2004,Actress - Leading Role,Dane Keaton,Golden Globes-Musical or Comedy
2004,Actress - Leading Role,Hope Davis,New York Film Critics
2004,Actress - Leading Role,Naomi Watts,DC Film Critics
2004,Actress - Leading Role,Naomi Watts,LA Film Critics
2004,Actress - Leading Role,Scarlett Johansson,Boston Film Critics
2004,Actress - Supporting Role,Anna Deavere Smith,DC Film Critics
2004,Actress - Supporting Role,Holly Hunter,Las Vegas Critics
2004,Actress - Supporting Role,Patricia Clarkson,Boston Film Critics
2004,Actress - Supporting Role,Patricia Clarkson,San Francisco Critics
2004,Actress - Supporting Role,Renee Zellweger,Critics Choice
2004,Actress - Supporting Role,Renee Zellweger,Golden Globes
2004,Actress - Supporting Role,Shohreh Aghdashloo,LA Film Critics
2004,Actress - Supporting Role,Shoreh Aghdashloo,New York Film Critics
2004,Animated Feature,Finding Nemo,Critics Choice
2004,Animated Feature,Finding Nemo,DC Film Critics
2004,Animated Feature,Finding Nemo,Las Vegas Critics
2004,Animated Feature,The Triplets of Belleville,LA Film Critics
2004,Animated Feature,The Triplets of Belleville,New York Film Critics
2004,Best Picture,American Splendor,LA Film Critics
2004,Best Picture,Lord of the Rings The Return of The King,DC Film Critics
2004,Best Picture,Lost in Translation,Golden Globes-Musical or Comedy
2004,Best Picture,Lost in Translation,San Francisco Critics
2004,Best Picture,Mystic River,Boston Film Critics
2004,Best Picture,The Lord of the Rings The Return of the King,Critics Choice
2004,Best Picture,The Lord of the Rings The Return of the King,Golden Globes-Drama
2004,Best Picture,The Lord of the Rings The Return of the King,Las Vegas Critics
2004,Best Picture,The Lord of the Rings The Return of the King,New York Film Critics
2004,Best Picture,The Lord of the Rings The Return of the King,New York Film Critics
2004,Best Picture,The Lord of the Rings The Return of the King,Producers Guild
2004,Cinematography,Ekephant,New York Film Critics
2004,Cinematography,Girl with a Pearl Earing,LA Film Critics
2004,Cinematography,The Lord of the Rings The Return of the King,Las Vegas Critics
2004,Cinematography,Winged Migration,Boston Film Critics
2004,Costume Design,The Lord of the Rings The Return of the King,Las Vegas Critics
2004,Director,Lost in Translation,Boston Film Critics
2004,Director,Lost in Translation,New York Film Critics
2004,Director,The Lord of the Rings The Return of the King,Critics Choice
2004,Director,The Lord of the Rings The Return of the King,DC Film Critics
2004,Director,The Lord of the Rings The Return of the King,Directors Guild
2004,Director,The Lord of the Rings The Return of the King,Golden Globes
2004,Director,The Lord of the Rings The Return of the King,LA Film Critics
2004,Director,The Lord of the Rings The Return of the King,Las Vegas Critics
2004,Director,The Lord of the Rings The Return of the King,San Francisco Critics
2004,Documentary,Capturing the Friedmans,Critics Choice
2004,Documentary,Capturing the Friedmans,Las Vegas Critics
2004,Documentary,Capturing the Friedmans,New York Film Critics
2004,Documentary,Capturing the Friedmans,San Francisco Critics
2004,Documentary,Grizzly Man,New York Film Critics
2004,Documentary,My Architect,Directors Guild
2004,Documentary,The Fog of War,DC Film Critics
2004,Documentary,The Fog of War,LA Film Critics
2004,Film Editing,Kill Bill Vol 1,Las Vegas Critics
2004,Foreign Language Film,City of God,Las Vegas Critics
2004,Foreign Language Film,City of God,New York Film Critics
2004,Foreign Language Film,Osama,Golden Globes
2004,Foreign Language Film,The Barbarian Invasions,Critics Choice
2004,Foreign Language Film,The Man of The Train,LA Film Critics
2004,Foreign Language Film,The Son,San Francisco Critics
2004,Foreign Language Film,The Triplets of Belleville,Boston Film Critics
2004,Production Design,The Lord of the Rings The Return of the King,LA Film Critics
2004,Production Design,The Lord of the Rings The Return of the King,Las Vegas Critics
2004,Score,Catch Me If You Can,Critics Choice
2004,Score,The Lord of the Rings The Return of the King,Golden Globes
2004,Score,The Lord of the Rings The Return of the King,Las Vegas Critics
2004,Score,The Triplets of Belleville,LA Film Critics
2004,Screenplay - Adapted,American Splendor,LA Film Critics
2004,Screenplay - Adapted,American Splendor,Writers Guild
2004,Screenplay - Original,American Splendor,Boston Film Critics
2004,Screenplay - Original,In America,Critics Choice
2004,Screenplay - Original,Lost in Translation,DC Film Critics
2004,Screenplay - Original,Lost in Translation,Golden Globes
2004,Screenplay - Original,Lost in Translation,Writers Guild
2004,Screenplay - Original,Mystic River,DC Film Critics
2004,Screenplay - Original,The Secret Lives of Dentists,New York Film Critics
2004,Song,School of Rock,Las Vegas Critics
2004,Visual Effects,The Lord of the Rings The Return of the King,Las Vegas Critics
2004,Visual Effects,The Lord of the Rings The Return of the King,Visual Effects Society
2004,Z Filler Data,Z Filler Data,Z Filler Data
2005,AA Filler Data,AA Filler Data,AA Filler Data
2005,Actor - Leading Role,Jamie Foxx,Boston Film Critics
2005,Actor - Leading Role,Jamie Foxx,Critics Choice
2005,Actor - Leading Role,Jamie Foxx,DC Film Critics
2005,Actor - Leading Role,Jamie Foxx,Golden Globes-Musical or Comedy
2005,Actor - Leading Role,Jamie Foxx,Las Vegas Critics
2005,Actor - Leading Role,Jamie Foxx,Screen Actors Guild
2005,Actor - Leading Role,Leonardo DiCaprio,Golden Globes-Drama
2005,Actor - Leading Role,Liam Neeson,LA Film Critics
2005,Actor - Leading Role,Paul Giamatti,New York Film Critics
2005,Actor - Leading Role,Paul Giamatti,San Francisco Critics
2005,Actor - Supporting Role,Clive Owen,Golden Globes
2005,Actor - Supporting Role,Clive Owen,Las Vegas Critics
2005,Actor - Supporting Role,Clive Owen,New York Film Critics
2005,Actor - Supporting Role,Jamie Foxx,DC Film Critics
2005,Actor - Supporting Role,Morgan Freeman,Screen Actors Guild
