Year,Award,Name,Issuer
1993,Actress - Supporting Role,Judy Davis,Boston Film Critics
1993,Actress - Supporting Role,Judy Davis,LA Film Critics
1993,Actress - Supporting Role,Miranda Richardson,New York Film Critics
1993,Best Picture,Scent of a Woman,Golden Globes-Drama
1993,Best Picture,The Crying Game,Producers Guild
1993,Best Picture,The Player,Golden Globes-Musical or Comedy
1993,Best Picture,The Player,New York Film Critics
1993,Best Picture,The Player,New York Film Critics
1993,Best Picture,Unforgiven,Boston Film Critics
1993,Best Picture,Unforgiven,LA Film Critics
1993,Cinematography,Raise the Red Lantern,LA Film Critics
1993,Cinematography,The Player,New York Film Critics
1993,Cinematography,Unforgiven,Boston Film Critics
1993,Director,The Player,Boston Film Critics
1993,Director,The Player,New York Film Critics
1993,Director,Unforgiven,Directors Guild
1993,Director,Unforgiven,Golden Globes
1993,Director,Unforgiven,LA Film Critics
1993,Documentary,Black Harvest,LA Film Critics
1993,Documentary,Brother's Lee[er,New York Film Critics
1993,Documentary,Bruce J Sinofsky Brother's Keeper,Directors Guild
1993,Foreign Language Film,Indochine,Golden Globes
1993,Foreign Language Film,Raise the Red Lantern,New York Film Critics
1993,Foreign Language Film,The Crying Game,LA Film Critics
1993,Score,Aladdin,Golden Globes
1993,Score,Damage,LA Film Critics
1993,Screenplay - Adapted,Scent of a Woman,Golden Globes
1993,Screenplay - Adapted,The Player,Writers Guild
1993,Screenplay - Original,The Crying Game,Boston Film Critics
1993,Screenplay - Original,The Crying Game,New York Film Critics
1993,Screenplay - Original,The Crying Game,Writers Guild
1993,Screenplay - Original,Unforgiven,LA Film Critics
1993,Z Filler Data,Z Filler Data,Z Filler Data
1994,AA Filler Data,AA Filler Data,AA Filler Data
1994,Actor - Leading Role,Anthony Hopkins,LA Film Critics
1994,Actor - Leading Role,Daniel Day Lewis,Boston Film Critics
1994,Actor - Leading Role,David Thewis,New York Film Critics
1994,Actor - Leading Role,Robin Williams,Golden Globes-Musical or Comedy
1994,Actor - Leading Role,Tom Hanks,Golden Globes-Drama
1994,Actor - Supporting Role,Ralph Fiennes,Boston Film Critics
1994,Actor - Supporting Role,Ralph Fiennes,New York Film Critics
1994,Actor - Supporting Role,Tommy Lee Jones,Golden Globes
1994,Actor - Supporting Role,Tommy Lee Jones,LA Film Critics
1994,Actress - Leading Role,Angela Bassett,Golden Globes-Musical or Comedy
1994,Actress - Leading Role,Holly Hunter,Boston Film Critics
1994,Actress - Leading Role,Holly Hunter,Golden Globes-Drama
1994,Actress - Leading Role,Holly Hunter,LA Film Critics
1994,Actress - Leading Role,Holly Hunter,New York Film Critics
1994,Actress - Supporting Role,Gong Li,New York Film Critics
1994,Actress - Supporting Role,Rosie Perez,Boston Film Critics
1994,Actress - Supporting Role,Rosie Perez,LA Film Critics
1994,Actress - Supporting Role,Winona Ryder,Golden Globes
1994,Best Picture,Mrs Boubtfire,Golden Globes-Musical or Comedy
1994,Best Picture,Schindler's List,Boston Film Critics
1994,Best Picture,Schindler's List,Golden Globes-Drama
1994,Best Picture,Schindler's List,LA Film Critics
1994,Best Picture,Schindler's List,New York Film Critics
1994,Best Picture,Schindler's List,New York Film Critics
1994,Best Picture,Schindler's List,Producers Guild
1994,Cinematography,Schindler's List,Boston Film Critics
1994,Cinematography,Schindler's List,New York Film Critics
1994,Cinematography,The Piano,LA Film Critics
1994,Director,Schindler's List,Boston Film Critics
1994,Director,Schindler's List,Directors Guild
1994,Director,Schindler's List,Golden Globes
1994,Director,The Piano,LA Film Critics
1994,Director,The Piano,New York Film Critics
1994,Documentary,Fallen Champ the Untold Story of Mike Tyson,Directors Guild
1994,Documentary,It's all true,LA Film Critics
1994,Documentary,Visions of Light,New York Film Critics
1994,Foreign Language Film,Farewell My Concubine,Boston Film Critics
1994,Foreign Language Film,Farewell My Concubine,Golden Globes
1994,Foreign Language Film,Farewell My Concubine,LA Film Critics
1994,Foreign Language Film,Farewell My Concubine,New York Film Critics
1994,Production Design,Schindler's List,LA Film Critics
1994,Score,Heaven and Earth,Golden Globes
1994,Score,Oliver Oliver,LA Film Critics
1994,Screenplay - Adapted,Schindler's List,Golden Globes
1994,Screenplay - Adapted,Schindler's List,Writers Guild
1994,Screenplay - Adapted,Short Cuts,Boston Film Critics
1994,Screenplay - Original,The Piano,LA Film Critics
1994,Screenplay - Original,The Piano,New York Film Critics
1994,Screenplay - Original,The Piano,Writers Guild
1994,Z Filler Data,Z Filler Data,Z Filler Data
1995,AA Filler Data,AA Filler Data,AA Filler Data
1995,Actor - Leading Role,Albert Finney,Boston Film Critics
1995,Actor - Leading Role,Hugh Grant,Golden Globes-Musical or Comedy
1995,Actor - Leading Role,John Travolta,LA Film Critics
1995,Actor - Leading Role,Paul Newman,New York Film Critics
1995,Actor - Leading Role,Tom Hanks,Golden Globes-Drama
1995,Actor - Leading Role,Tom Hanks,Screen Actors Guild
1995,Actor - Supporting Role,Martin Landau,Boston Film Critics
1995,Actor - Supporting Role,Martin Landau,Golden Globes
1995,Actor - Supporting Role,Martin Landau,LA Film Critics
1995,Actor - Supporting Role,Martin Landau,New York Film Critics
1995,Actor - Supporting Role,Martin Landau,Screen Actors Guild
1995,Actress - Leading Role,Jamie Lee Curtis,Golden Globes-Musical or Comedy
1995,Actress - Leading Role,Jessica Lange,Golden Globes-Drama
1995,Actress - Leading Role,Jessica Lange,LA Film Critics
1995,Actress - Leading Role,Jodie Foster,Screen Actors Guild
1995,Actress - Leading Role,Julianne Moore,Boston Film Critics
1995,Actress - Leading Role,Linda Florentino,New York Film Critics
1995,Actress - Supporting Role,Dianne West,Golden Globes
1995,Actress - Supporting Role,Dianne West,LA Film Critics
1995,Actress - Supporting Role,Dianne West,New York Film Critics
1995,Actress - Supporting Role,Kirsten Dunst,Boston Film Critics
1995,Best Picture,Forrest Gump,Golden Globes-Drama
1995,Best Picture,Forrest Gump,Producers Guild
1995,Best Picture,Pulp Fiction,Boston Film Critics
1995,Best Picture,Pulp Fiction,LA Film Critics
1995,Best Picture,Quiz Show,New York Film Critics
1995,Best Picture,Quiz Show,New York Film Critics
1995,Best Picture,The Lion King,Golden Globes-Musical or Comedy
1995,Cinematography,Ed Wood,Boston Film Critics
1995,Cinematography,Ed Wood,LA Film Critics
1995,Cinematography,Ed Wood,New York Film Critics
1995,Director,Forrest Gump,Directors Guild
1995,Director,Forrest Gump,Golden Globes
1995,Director,Pulp Fiction,Boston Film Critics
1995,Director,Pulp Fiction,LA Film Critics
1995,Director,Pulp Fiction,New York Film Critics
1995,Documentary,Hoop Dreams,Directors Guild
1995,Documentary,Hoop Dreams,LA Film Critics
1995,Documentary,Hoop Dreams,New York Film Critics
1995,Foreign Language Film,Farinelli,Golden Globes
1995,Foreign Language Film,Three Colours Red,Boston Film Critics
1995,Foreign Language Film,Three Colours Red,LA Film Critics
1995,Foreign Language Film,Three Colours Red,New York Film Critics
1995,Production Design,The Hudsucker Proxy,LA Film Critics
1995,Score,Ed Wood,LA Film Critics
1995,Score,The Lion King,Golden Globes
1995,Screenplay - Adapted,Forrest Gump,Writers Guild
1995,Screenplay - Adapted,Pulp Fiction,New York Film Critics
1995,Screenplay - Original,Four Weddings and a Funeral,Writers Guild
1995,Screenplay - Original,Pulp Fiction,Boston Film Critics
1995,Screenplay - Original,Pulp Fiction,Golden Globes
1995,Screenplay - Original,Pulp Fiction,LA Film Critics
1995,Z Filler Data,Z Filler Data,Z Filler Data
1996,AA Filler Data,AA Filler Data,AA Filler Data
1996,Actor - Leading Role,John Travolta,Golden Globes-Musical or Comedy
1996,Actor - Leading Role,Kevin Bacon,Critics Choice
1996,Actor - Leading Role,Nicolas Cage,Boston Film Critics
1996,Actor - Leading Role,Nicolas Cage,Golden Globes-Drama
1996,Actor - Leading Role,Nicolas Cage,LA Film Critics
1996,Actor - Leading Role,Nicolas Cage,New York Film Critics
1996,Actor - Leading Role,Nicolas Cage,Screen Actors Guild
1996,Actor - Supporting Role,Brad Pitt,Golden Globes
1996,Actor - Supporting Role,Don Cheadle,LA Film Critics
1996,Actor - Supporting Role,Ed Harris,Critics Choice
1996,Actor - Supporting Role,Ed Harris,Screen Actors Guild
1996,Actor - Supporting Role,Kevin Spacey,Boston Film Critics
1996,Actor - Supporting Role,Kevin Spacey,Critics Choice
1996,Actor - Supporting Role,Kevin Spacey,New York Film Critics
1996,Actress - Leading Role,Elisabeth Shue,LA Film Critics
1996,Actress - Leading Role,Jennifer Jason Leigh,New York Film Critics
1996,Actress - Leading Role,Nicole Kidman,Boston Film Critics
1996,Actress - Leading Role,Nicole Kidman,Critics Choice
1996,Actress - Leading Role,Nicole Kidman,Golden Globes-Musical or Comedy
1996,Actress - Leading Role,Sharon Stone,Golden Globes-Drama
1996,Actress - Leading Role,Susan Sarandon,Screen Actors Guild
1996,Actress - Supporting Role,Joan Allen,Boston Film Critics
1996,Actress - Supporting Role,Joan Allen,LA Film Critics
1996,Actress - Supporting Role,Mira Sorvino,Critics Choice
1996,Actress - Supporting Role,Mira Sorvino,Golden Globes
1996,Actress - Supporting Role,Mira Sorvino,New York Film Critics
1996,Best Picture,Apollo 13,Producers Guild
1996,Best Picture,Babe,Golden Globes-Musical or Comedy
1996,Best Picture,Leaving Las Vegas,LA Film Critics
1996,Best Picture,Leaving Las Vegas,New York Film Critics
1996,Best Picture,Leaving Las Vegas,New York Film Critics
1996,Best Picture,Sense and Sensibility,Boston Film Critics
1996,Best Picture,Sense and Sensibility,Critics Choice
1996,Best Picture,Sense and Sensibility,Golden Globes-Drama
1996,Cinematography,Breaking The Waves,New York Film Critics
1996,Cinematography,Safe,Boston Film Critics
1996,Cinematography,Shanghai Trian,LA Film Critics
1996,Cinematography,Shanghai Trian,New York Film Critics
1996,Director,Apollo 13,Directors Guild
1996,Director,Braveheart,Golden Globes
1996,Director,Leaving Las Vegas,LA Film Critics
1996,Director,Sense and Sensibility,Boston Film Critics
1996,Director,Sense and Sensibility,New York Film Critics
1996,Documentary,Crumb,Critics Choice
1996,Documentary,Crumb,Directors Guild
1996,Documentary,Crumb,LA Film Critics
1996,Documentary,Crumb,New York Film Critics
1996,Foreign Language Film,Les Miserables,Golden Globes
1996,Foreign Language Film,Mina Tannenbaum,Boston Film Critics
1996,Foreign Language Film,The Postman,Critics Choice
1996,Foreign Language Film,Wild Reeds,LA Film Critics
1996,Foreign Language Film,Wild Reeds,New York Film Critics
1996,Production Design,A Little Princess,LA Film Critics
1996,Score,A Little Princess,LA Film Critics
1996,Score,A Walk on the Clouds,Golden Globes
1996,Screenplay - Adapted,Sense and Sensibility,Boston Film Critics
1996,Screenplay - Adapted,Sense and Sensibility,Critics Choice
1996,Screenplay - Adapted,Sense and Sensibility,Golden Globes
1996,Screenplay - Adapted,Sense and Sensibility,LA Film Critics
1996,Screenplay - Adapted,Sense and Sensibility,New York Film Critics
1996,Screenplay - Adapted,Sense and Sensibility,Writers Guild
1996,Screenplay - Original,Braveheart,Writers Guild
1996,Z Filler Data,Z Filler Data,Z Filler Data
1997,AA Filler Data,AA Filler Data,AA Filler Data
1997,Actor - Leading Role,Geoffrey Rush,Boston Film Critics
1997,Actor - Leading Role,Geoffrey Rush,Critics Choice
1997,Actor - Leading Role,Geoffrey Rush,Golden Globes-Drama
1997,Actor - Leading Role,Geoffrey Rush,LA Film Critics
1997,Actor - Leading Role,Geoffrey Rush,New York Film Critics
1997,Actor - Leading Role,Geoffrey Rush,Screen Actors Guild
1997,Actor - Leading Role,Tom Cruise,Golden Globes-Musical or Comedy
1997,Actor - Supporting Role,Cuba Gooding Jr,Critics Choice
1997,Actor - Supporting Role,Cuba Gooding Jr,Screen Actors Guild
1997,Actor - Supporting Role,Edward Norton,Boston Film Critics
1997,Actor - Supporting Role,Edward Norton,Golden Globes
1997,Actor - Supporting Role,Edward Norton,LA Film Critics
1997,Actor - Supporting Role,Harry Belafonte,New York Film Critics
1997,Actress - Leading Role,Brenda Blethyn,Boston Film Critics
1997,Actress - Leading Role,Brenda Blethyn,Golden Globes-Drama
1997,Actress - Leading Role,Brenda Blethyn,LA Film Critics
1997,Actress - Leading Role,Emily Watson,New York Film Critics
1997,Actress - Leading Role,Frances McDormand,Critics Choice
1997,Actress - Leading Role,Frances McDormand,Screen Actors Guild
1997,Actress - Leading Role,Madonna,Golden Globes-Musical or Comedy
1997,Actress - Supporting Role,Barbara Hershey,LA Film Critics
1997,Actress - Supporting Role,Courtney Love,Boston Film Critics
1997,Actress - Supporting Role,Courtney Love,New York Film Critics
1997,Actress - Supporting Role,Joan Allen,Critics Choice
1997,Actress - Supporting Role,Lauren Baccall,Golden Globes
1997,Best Picture,Evita,Golden Globes-Musical or Comedy
1997,Best Picture,Fargo,Critics Choice
1997,Best Picture,Fargo,New York Film Critics
1997,Best Picture,Fargo,New York Film Critics
1997,Best Picture,Secrets and Lies,LA Film Critics
1997,Best Picture,The English Patient,Golden Globes-Drama
1997,Best Picture,The English Patient,Producers Guild
1997,Best Picture,Trainspotting,Boston Film Critics
1997,Cinematography,Dead Man,New York Film Critics
1997,Cinematography,Michael Collins,LA Film Critics
1997,Cinematography,The English Patient,Boston Film Critics
1997,Director,Breaking The Waves,New York Film Critics
1997,Director,Secrets and Lies,Boston Film Critics
1997,Director,Secrets and Lies,LA Film Critics
1997,Director,The English Patient,Critics Choice
1997,Director,The English Patient,Directors Guild
1997,Director,The People vs Larry Flynt,Golden Globes
1997,Documentary,Looking for Richard,Directors Guild
1997,Documentary,When We Were Kings,Critics Choice
1997,Documentary,When We Were Kings,LA Film Critics
1997,Documentary,When We Were Kings,New York Film Critics
1997,Foreign Language Film,A Judgement in Stone,LA Film Critics
1997,Foreign Language Film,Kolya,Golden Globes
1997,Foreign Language Film,My Favorite Season,Boston Film Critics
1997,Foreign Language Film,Ridicule,Critics Choice
1997,Foreign Language Film,The White Ballroom,New York Film Critics
1997,Production Design,The Protrait of a Lady,LA Film Critics
1997,Score,Kansas City,LA Film Critics
1997,Score,The English Patient,Golden Globes
1997,Screenplay - Adapted,Sling Blade,Writers Guild
1997,Screenplay - Adapted,The English Patient,Critics Choice
1997,Screenplay - Original,Big Night,Boston Film Critics
1997,Screenplay - Original,Fargo,LA Film Critics
1997,Screenplay - Original,Fargo,Writers Guild
1997,Screenplay - Original,Mother,New York Film Critics
1997,Screenplay - Original,The People vs Larry Flynt,Golden Globes
1997,Z Filler Data,Z Filler Data,Z Filler Data
1998,AA Filler Data,AA Filler Data,AA Filler Data
1998,Actor - Leading Role,Al Pachino,Boston Film Critics
1998,Actor - Leading Role,Jack Nicholson,Critics Choice
1998,Actor - Leading Role,Jack Nicholson,Golden Globes-Musical or Comedy
1998,Actor - Leading Role,Jack Nicholson,Screen Actors Guild
1998,Actor - Leading Role,Peter Fonda,Golden Globes-Drama
1998,Actor - Leading Role,Peter Fonda,New York Film Critics
1998,Actor - Leading Role,Robert Duvall,LA Film Critics
1998,Actor - Leading Role,Robert Duvall,Las Vegas Critics
1998,Actor - Supporting Role,Anthony Hopkins,Critics Choice
1998,Actor - Supporting Role,Burt Reynolds,Golden Globes
1998,Actor - Supporting Role,Burt Reynolds,LA Film Critics
1998,Actor - Supporting Role,Burt Reynolds,Las Vegas Critics
1998,Actor - Supporting Role,Burt Reynolds,New York Film Critics
1998,Actor - Supporting Role,Kevin Spacey,Boston Film Critics
1998,Actor - Supporting Role,Robin Williams,Screen Actors Guild
1998,Actress - Leading Role,Helen Hunt,Golden Globes-Musical or Comedy
1998,Actress - Leading Role,Helen Hunt,Screen Actors Guild
1998,Actress - Leading Role,Helena Bonham Carter,Boston Film Critics
1998,Actress - Leading Role,Helena Bonham Carter,Critics Choice
1998,Actress - Leading Role,Helena Bonham Carter,LA Film Critics
1998,Actress - Leading Role,Helena Bonham Carter,Las Vegas Critics
1998,Actress - Leading Role,Judi Dench,Golden Globes-Drama
1998,Actress - Leading Role,Julie Christie,New York Film Critics
1998,Actress - Supporting Role,Allison Elliot,Las Vegas Critics
1998,Actress - Supporting Role,Joan Cuasack,Critics Choice
1998,Actress - Supporting Role,Joan Cusack,New York Film Critics
1998,Actress - Supporting Role,Julianne Moore,LA Film Critics
