Best Supporting Actor,
Mark Rylance,New York Film Critics
Mark Rylance,Boston Film Critics
Mark Rylance,National Society of Film Critics
Sylvester Stallone,Las Vegas Critics
Sylvester Stallone,Critics Choice
Sylvester Stallone,Golden Globes
Tom Hardy,Houston Critics
