Best Picture,
Spotlight,LA Film Critics
Spotlight,DC Film Critics
Spotlight,Boston Film Critics
Spotlight,Las Vegas Critics
Spotlight,Houston Critics
Spotlight,San Francisco Critics
Spotlight,National Society of Film Critics
Spotlight,Critics Choice
Spotlight,Golden Globes-Drama
Carol,New York Film Critics
The Martian,Golden Globes-Musical or Comedy
