Best Original Screenplay,
Spotlight,LA Film Critics
Spotlight,Boston Film Critics
Spotlight,Las Vegas Critics
Spotlight,Houston Critics
Spotlight,National Society of Film Critics
Spotlight,Critics Choice
Spotlight,Writers Guild
Inside Out,DC Film Critics
