BEST ADAPTED SCREENPLAY,,
Carol,New York Film Socirty,0
Room,DC Film Critics,0.4286
The Martian,Las Vegas Critics,0.25
Brooklyn,San Francisco Critics,0.2
The Big Short,Critics Choice,0.3529
The Big Short,WG,1.059
