Best Animated Feature,
Inside Out,New York Film Critics
Inside Out,DC Film Critics
Inside Out,Boston Film Critics
Inside Out,Las Vegas Critics
Inside Out,Houston Critics
Inside Out,Critics Choice
Inside Out,Golden Globes
Anamonalisa,San Francisco Critics
Anamonalisa,LA Film Critics
Anamonalisa,Boston Film Critics
