Best Actress,,
Charlotte Rampling,LA Film Critics,0.411764706
Charlotte Rampling,Boston Film Critics,0.411764706
Charlotte Rampling,Natrional Society of Film Critics,0.411764706
Saoirse Ronan,DC Film Critics,0.357142857
Saoirse Ronan,New York Film Cirtics,0.294117647
Saoirse Ronan,San Francisco Critics,0.4
Brie Larson,Las Vegas Critics,0.352941176
Brie Larson,Houston Critics,0.375
Brie Larson,Critics Choice,0.647058824
Brie Larson,Golden Globes,0.882352941
Brie Larson,Screen Actors Guild,0.970588235
Jennifer Lawrence,Golden Globes,0.882352941
