Best Actor,
Matt Damon,Golden Globes-Comedy or Musical
Leonardo DiCaprio,DC Film Critics
Leonardo DiCaprio,Boston Film Critics
Leonardo DiCaprio,Las Vegas Critics
Michael Fassbender,Houston Critics
Leonardo DiCaprio,Critics Choice
Leonardo DiCaprio,Golden Globes-Drama
Leonardo DiCaprio,Screen Actors Guild
Michael Fassbender,LA Film Critics
