Best Cinematography,
Carol,New York Film Critics
Carol,Boston Film Critics
Carol,National Society of Film Critics
Mad Max: Fury Road,LA Film Critics
Mad Max: Fury Road,San Francisco Critics
The Revenant,DC Film Critics
The Revenant,Las Vegas Critics
The Revenant,Houston Critics
The Revenant,Critics Choice
