Best Original Score,
Carol,LA Film Critics
Sicario,DC Film Critics
The Hateful Eight,Las Vegas Critics
The Hateful Eight,Houston Critics
The Hateful Eight,Critics Choice
The Hateful Eight,Golden Globes
