Best Supporting Actress,,
Patricia Arquette,New York Film Cirtics,0.352941176
Agata Kulesza,LA Film Critics,0.117647059
Patricia Arquette,DC Film Critics,0.5
Emma Stone,Boston Film Critics,0.117647059
Patricia Arquette,San Francisco Critics,0.2
Tilda Swinton,Las Vegas Critics,0.352941176
Patricia Arquette,Houston Critics,0.375
Patricia Arquette,Natrional Society of Film Critics,0.176470588
Patricia Arquette,Screen Actors Guild,1.147058824
Patricia Arquette,Critics Choice,0.705882353
Patricia Arquette,Golden Globes,0.588235294
